timestamp,mavros_connected,px4_armed,px4_mode,alignment_complete,rf2o_valid,rf2o_age_sec,aligned_x,aligned_y,aligned_yaw_deg,px4_x,px4_y,px4_yaw_deg,position_difference_m,yaw_difference_deg,publishing_to_px4,rejection_reason
1785071510.456856,false,false,UNKNOWN,false,false,inf,nan,nan,nan,nan,nan,0.000000,nan,nan,false,mavros_disconnected
1785071511.456847,false,false,UNKNOWN,false,true,0.046036,nan,nan,nan,nan,nan,0.000000,nan,nan,false,mavros_disconnected
1785071512.456881,true,false,AUTO.LOITER,true,true,0.138141,0.002415,0.053162,20.053524,0.004486,0.051341,20.280344,0.002758,-0.226820,true,none
1785071513.456857,true,false,AUTO.LOITER,true,true,0.045557,0.002742,0.052295,20.220481,0.005498,0.051422,20.028448,0.002891,0.192034,true,none
1785071514.456859,true,false,AUTO.LOITER,true,true,0.140335,0.002947,0.051166,19.878993,0.004203,0.051057,20.015049,0.001261,-0.136056,true,none
1785071515.456852,true,false,AUTO.LOITER,true,true,0.042264,0.003033,0.051734,20.156164,0.003718,0.050609,19.976132,0.001317,0.180033,true,none
1785071516.456873,true,false,AUTO.LOITER,true,true,0.140854,0.003922,0.052456,20.193911,0.005462,0.050893,20.000282,0.002194,0.193629,true,none
1785071517.456855,true,false,AUTO.LOITER,true,true,0.046679,0.002050,0.051943,20.144717,0.006800,0.050442,20.054387,0.004982,0.090330,true,none
1785071518.456866,true,false,AUTO.LOITER,true,true,0.141421,0.002620,0.051297,20.286659,0.005042,0.051055,20.080154,0.002434,0.206505,true,none
1785071519.456875,true,false,AUTO.LOITER,true,true,0.044540,0.000793,0.050204,20.370445,0.003265,0.050222,20.095281,0.002472,0.275164,true,none
1785071520.456875,true,false,AUTO.LOITER,true,true,0.145546,0.000237,0.049587,20.355351,0.003818,0.048443,20.114015,0.003760,0.241336,true,none
1785071521.456856,true,false,AUTO.LOITER,true,true,0.041582,0.000328,0.048632,20.203252,0.005189,0.048217,20.144308,0.004878,0.058944,true,none
1785071522.456869,true,false,AUTO.LOITER,true,true,0.134577,-0.002412,0.047798,20.473438,0.004151,0.049906,20.162836,0.006893,0.310602,true,none
1785071523.456873,true,false,AUTO.LOITER,true,true,0.038525,-0.003560,0.047787,20.498939,0.003748,0.049198,20.186181,0.007443,0.312759,true,none
1785071524.456866,true,false,AUTO.LOITER,true,true,0.142114,-0.003935,0.047100,20.510844,0.002783,0.048693,20.206676,0.006904,0.304167,true,none
