timestamp,raw_odom_age_sec,scan_age_sec,rf2o_rate_hz,scan_rate_hz,x,y,yaw_deg,delta_translation_m,delta_yaw_deg,translation_speed_mps,yaw_rate_degps,roll_deg,pitch_deg,valid,status_reason
1785071529.184979677,0.074473726,0.097005183,11.265646856,8.415431373,-0.006841038,0.002320771,0.099612158,0.000286262,0.200768942,0.002119405,1.486440027,1.206963219,1.036870674,true,OK
1785071530.184971571,0.075804404,0.028688157,8.610513304,7.669829669,-0.008583264,0.002022535,-0.139745852,0.000766762,0.000000000,0.005703489,0.000000000,1.215668468,1.028563805,true,OK
1785071531.185025930,0.073106216,0.095264211,8.952544448,7.586508451,-0.007908350,0.000960056,-0.107003936,0.000278406,0.184517467,0.002058938,1.364590500,1.233872847,1.031120985,true,OK
1785071532.184980631,0.076509287,0.025362314,8.145194707,7.524573847,-0.006868426,0.001087827,0.042604641,0.000271203,0.117033931,0.002008337,0.866669361,1.229377928,1.037524559,true,OK
1785071533.184955120,0.170681899,0.093369298,8.598657443,7.540543761,-0.007698366,0.001595575,-0.283532770,0.000900912,0.209356731,0.006668254,1.549590285,1.211324622,1.050976510,true,OK
1785071534.184940577,0.077336910,0.024653376,8.364852525,7.523325261,-0.008451377,0.000761824,-0.490270630,0.000362039,0.071326251,0.002678348,0.527668064,1.199848871,1.036973907,true,OK
1785071535.184974194,0.172097552,0.091342832,8.637818965,7.549071909,-0.009726882,-0.000965139,-0.339419939,0.000693425,0.149353439,0.005645493,1.215955060,1.216389468,0.959459843,true,OK
1785071536.184981346,0.072767802,0.021627420,8.342541004,7.536579183,-0.013171197,-0.001903988,-0.171896707,0.001596808,0.044234660,0.012885017,0.356939803,1.222920006,0.971502328,true,OK
1785071537.184977055,0.169653471,0.072379913,8.793812237,7.406696077,-0.013573257,-0.000752971,-0.295426027,0.000428687,0.090654086,0.003171911,0.670761360,1.198640223,0.979264254,true,OK
1785071538.184987068,0.063336792,0.005688076,8.270234275,7.486477832,-0.011909273,-0.000373189,-0.343099173,0.001055484,0.102792073,0.007808770,0.760485278,1.161227822,0.991528485,true,OK
1785071539.185051441,0.168526388,0.062458209,8.750902725,7.435688050,-0.011795498,0.000259523,-0.206320800,0.000529345,0.170174190,0.003892832,1.251470718,1.174156697,0.971340922,true,OK
1785071540.184989214,0.071620186,0.127248204,8.552950546,7.516787513,-0.012037175,0.001116710,-0.189761680,0.000155231,0.090654086,0.001146364,0.669472638,1.178726347,0.989340727,true,OK
1785071541.185011387,0.073240618,0.046746378,8.072844091,7.423873362,-0.010518639,0.001403600,-0.433043186,0.000455196,0.248660374,0.003331470,1.819884661,1.217110021,0.988725974,true,OK
1785071542.185204506,0.067712498,0.114653462,8.745959482,7.496462320,-0.010885444,0.001727791,-0.360162673,0.000502949,0.000000000,0.003722724,0.000000000,1.235898265,1.002011201,true,OK
1785071543.184972763,0.068155042,0.034102261,8.004767328,7.442624743,-0.011140118,0.001917813,-0.523304170,0.000212175,0.102792073,0.001575491,0.763275727,1.201229260,0.990006661,true,OK
1785071544.184969664,0.075070498,0.100208718,8.789125933,7.473897661,-0.013289627,0.002005237,-0.366994490,0.000219830,0.108352360,0.001628659,0.802752965,1.207843778,0.994659830,true,OK
1785071545.184976578,0.076184826,0.032368489,8.175045952,7.528278021,-0.012784602,0.000516409,-0.496871091,0.000576207,0.065610604,0.004261677,0.485261544,1.197863426,0.967993995,true,OK
1785071546.185343742,0.052638672,0.082759417,17.197713226,7.514891174,-0.012676155,0.000718444,-0.459447404,0.000371189,0.044234660,0.002967328,0.353617015,1.219573456,0.989554897,true,OK
1785071547.185010672,0.060157858,0.011526606,10.105451947,7.444113811,-0.014202516,0.000856323,-0.045471049,0.000544905,0.081564685,0.004035151,0.604005878,1.216852197,0.975212977,true,OK
1785071548.185006618,0.164689418,0.071869790,9.067331064,7.440863192,-0.013758215,0.000242106,-0.336887443,0.000328285,0.039564681,0.002449747,0.295242189,1.213216595,0.966046548,true,OK
1785071549.184952259,0.066567392,0.003624903,8.449608003,7.470721180,-0.012237114,-0.000018488,-0.103169220,0.000713134,0.135620930,0.005279213,1.003979891,1.209137132,0.969149830,true,OK
1785071550.185295105,0.063915636,0.067198896,7.709255953,7.549102229,-0.011560435,0.000684173,-0.058274400,0.000535121,0.094872788,0.003960830,0.702224802,1.230632954,0.982381156,true,OK
1785071551.185106754,0.074147775,0.122668387,8.429354061,7.446537643,-0.012639971,0.001290796,0.012468610,0.001124533,0.081564685,0.008325728,0.603882239,1.211926140,0.985267164,true,OK
1785071552.184970856,0.073363320,0.056104426,7.875600590,7.523981969,-0.011780134,0.000439884,0.051309115,0.000962473,0.125114538,0.007009706,0.911210941,1.231280672,0.989382578,true,OK
1785071553.184944868,0.468998111,0.042746741,8.543883928,6.934543058,-0.011953199,0.001253028,0.233134273,0.000434915,0.129721514,0.003220717,0.960638504,1.207161622,0.984937125,true,OK
1785071554.184962988,0.069663726,0.042143470,7.319728656,7.203728760,-0.009975668,0.001787357,-0.025466260,0.001086100,0.150657858,0.007972111,1.105847697,1.216662081,0.996567893,true,OK
1785071555.184942007,0.072289048,0.107182917,8.689794528,7.397923349,-0.008663471,0.002728648,-0.272559006,0.001506834,0.221173438,0.011152593,1.636980289,1.210038731,0.987151421,true,OK
1785071556.185067177,0.074044051,0.038652840,8.017014463,7.484980365,-0.008667054,0.001133452,-0.274293367,0.000435779,0.300014405,0.003198196,2.201815864,1.232610054,0.975634039,true,OK
1785071557.185016394,0.169063492,0.086899640,8.567099249,7.385736762,-0.009048959,0.001424380,-0.160889795,0.000725748,0.314657797,0.005372318,2.329241063,1.226885467,0.999773569,true,OK
1785071558.184991598,0.072890117,0.023620630,8.121575346,7.479672839,-0.011434134,0.000682465,0.406627842,0.000928407,0.117033931,0.006767457,0.853097591,1.210923838,0.991182430,true,OK
1785071559.186391592,0.167674960,0.084850777,8.932214214,7.457905120,-0.016715528,-0.001169700,0.409159020,0.000140549,0.332202472,0.001010099,2.387470653,1.190692569,0.972030494,true,OK
1785071560.187190294,0.054502057,0.004852601,8.414039723,7.365807027,-0.015910374,-0.001125531,0.294113592,0.000698017,0.134170395,0.005164691,0.992739204,1.180068463,0.969541890,true,OK
1785071561.185121059,0.171793258,0.070907066,10.818236068,7.554942933,-0.017503767,-0.001344227,0.550609767,0.000533780,0.174712971,0.003858745,1.263015983,1.216458220,0.938053569,true,OK
1785071562.185291052,0.035901578,0.132846372,8.466899764,7.467491773,-0.016166420,-0.000804343,0.417446645,0.000466829,0.111905833,0.003457469,0.828807337,1.213216554,0.961734983,true,OK
1785071563.186306000,0.075107910,0.058936971,8.015206337,7.498274025,-0.016673818,-0.001670737,0.272062186,0.000431433,0.121946558,0.003203928,0.905605469,1.209534719,0.977944901,true,OK
1785071564.186578512,0.166626358,0.117254890,9.358734051,7.691710418,-0.015992218,-0.002138736,0.448421512,0.001308416,0.081564685,0.009690129,0.604068200,1.191799293,0.984123881,true,OK
1785071565.185287714,0.041578326,0.046845881,9.163215273,7.549982358,-0.018001820,-0.000275144,0.561172801,0.000284559,0.108352360,0.002103158,0.800825190,1.204819114,0.965689618,true,OK
1785071566.185014725,0.068775029,0.103272125,9.081816641,7.500997213,-0.018293366,-0.000404183,0.453664170,0.000738373,0.106531181,0.005519364,0.796324150,1.207174349,0.970252285,true,OK
1785071567.185483456,0.070719917,0.029289686,8.157051355,7.435704888,-0.018258914,-0.000953317,0.090825021,0.000268057,0.076616680,0.001999545,0.571514281,1.194530413,0.965473150,true,OK
1785071568.187475920,0.144273833,0.078330057,8.125940334,7.475821302,-0.017809740,-0.000657203,0.267896043,0.000626308,0.129721514,0.004743562,0.982491460,1.210671261,0.973127854,true,OK
1785071569.185053587,0.071761503,0.018583430,11.391260048,7.533342502,-0.018518794,0.000453913,0.356167286,0.000392879,0.098911718,0.002908226,0.732178349,1.194650823,0.980329670,true,OK
1785071570.184955835,0.174844755,0.069525743,9.325258449,7.400763356,-0.018057379,-0.000862719,0.020087902,0.000429008,0.120331298,0.003175952,0.890813422,1.193922603,0.971182261,true,OK
1785071571.185307026,0.373969923,0.038540460,8.922902155,6.820004696,-0.018000132,-0.000812694,0.320855388,0.000805112,0.178041140,0.005954358,1.316736722,1.184500999,0.959480773,true,OK
1785071572.187034607,0.167118155,0.071381833,8.741086084,7.196266243,-0.016620600,-0.001046221,0.541256051,0.000891727,0.126668806,0.006600898,0.937650560,1.210902030,0.961982527,true,OK
1785071573.185021162,0.075663382,0.005270943,8.954975811,7.566612723,-0.016237722,0.000892316,0.443596272,0.001633027,0.083929371,0.012026803,0.618117312,1.219657342,0.987228848,true,OK
1785071574.185461998,0.063275658,0.051868696,7.745866447,7.390477758,-0.011552582,0.001168022,-0.307634050,0.000226449,0.392669016,0.001699783,2.947474319,1.216882931,0.997165869,true,OK
1785071575.185180664,0.034906518,0.110533024,8.100177361,7.557861810,-0.012020685,0.000576572,0.089059102,0.000919942,0.000000000,0.006794653,0.000000000,1.196638799,1.010408571,true,OK
1785071576.184939146,0.062565832,0.044212590,7.956693538,7.465153455,-0.012074412,0.001804232,-0.062821334,0.000743060,0.145369958,0.005512195,1.078389085,1.212105563,0.974625750,true,OK
1785071577.185006380,0.174655742,0.034225454,8.606819461,6.934692226,-0.012506225,0.001457327,-0.005165374,0.000511768,0.034264021,0.003783771,0.253332037,1.238105725,0.977386541,true,OK
1785071578.184952497,0.074603015,0.017965673,8.608906959,7.189597739,-0.012952684,0.001311521,0.274466346,0.000418116,0.141274205,0.003094347,1.045527921,1.230685540,0.998033320,true,OK
1785071579.184986115,0.167049718,0.072372367,8.871727489,7.578010641,-0.012834461,0.001527455,0.367355531,0.000809365,0.264669910,0.005992881,1.959727373,1.223452052,1.004190767,true,OK
1785071580.184932947,0.070961742,0.123044217,8.545949689,7.399685725,-0.013465636,-0.000233794,0.416096722,0.000428277,0.377941768,0.003169099,2.796638517,1.189511373,1.009000693,true,OK
1785071581.185051680,0.062290528,0.033248762,8.099473445,7.230613090,-0.015292368,-0.000734972,-0.049170782,0.000779631,0.111905833,0.005641798,0.809806680,1.210294087,1.002913796,true,OK
1785071582.185005903,0.098994575,0.066055419,6.644703207,7.873728455,-0.016448737,-0.000370239,0.456649709,0.000603065,0.000000000,0.004505267,0.000000000,1.233417678,0.991099957,true,OK
1785071583.189343214,0.010470178,0.020882839,496.864332848,728.482866971,-0.016998705,-0.000194109,0.383508515,0.000582040,0.121946558,0.004578288,0.959223856,1.239164900,1.000968838,true,OK
1785071584.185010433,0.155497731,0.085755255,111.267326367,158.689378485,-0.017259679,-0.000318759,0.475971347,0.000355581,0.088469326,0.002625493,0.653228448,1.228518307,1.021382146,true,OK
1785071585.363921165,0.272271331,0.332103283,25.647322500,39.181845070,-0.016795160,-0.000285521,0.671073066,0.000483995,0.121946558,0.003640936,0.917364039,1.208829196,1.013899479,true,OK
1785071586.185110092,0.389373349,0.083709138,15.355885826,107.255880397,-0.016055407,0.000534438,0.663746616,0.000437037,0.138476416,0.003223868,1.021491232,1.202327249,1.008989309,true,OK
1785071587.187369823,0.090558194,0.130348698,10.621820296,28.314880770,-0.014724694,0.000171631,0.558527012,0.000598316,0.092787413,0.004436438,0.688006487,1.218131197,0.997953557,true,OK
1785071588.184972286,0.092108865,0.054678689,119.169231982,54.706785911,-0.015379778,-0.000476193,0.013634530,0.000584601,0.110143430,0.004327714,0.815375963,1.250680719,1.005158130,true,OK
1785071589.185027599,0.091318136,0.124311116,27.800106150,17.459773115,-0.015237506,-0.000854023,0.243236480,0.000125603,0.100870555,0.000942011,0.756520199,1.215595782,1.027039961,true,OK
1785071590.185212612,0.082810495,0.035969182,12.033026353,9.112155889,-0.015613752,0.000397781,0.106828051,0.000515246,0.138476416,0.003717404,0.999081921,1.203295162,1.016295187,true,OK
1785071591.184970379,0.183161787,0.095516033,12.807107075,8.054108467,-0.016048200,-0.000297865,-0.095716003,0.000771580,0.377941768,0.006315103,3.093315148,1.207684140,1.007709927,true,OK
1785071592.185011625,0.088620103,0.028890127,8.985464738,7.577309101,-0.015254105,-0.000570280,0.211976068,0.000319537,0.113640914,0.002365846,0.841395376,1.213171429,1.020279049,true,OK
