timestamp,raw_odom_age_sec,scan_age_sec,rf2o_rate_hz,scan_rate_hz,x,y,yaw_deg,delta_translation_m,delta_yaw_deg,translation_speed_mps,yaw_rate_degps,roll_deg,pitch_deg,valid,status_reason
1785679094.950740337,inf,inf,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,false,WAITING_FOR_SCAN
1785679095.947553635,inf,inf,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,false,WAITING_FOR_SCAN
1785679096.947578192,inf,inf,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,false,WAITING_FOR_SCAN
1785679097.947700262,0.019840259,0.116998241,6.540177366,6.782587525,-0.000521441,0.000218008,0.291553428,0.000333165,0.149353439,0.002245069,1.006435464,-0.729610052,0.773646298,false,WAITING_FOR_ODOM
1785679098.948052406,0.080723778,0.037513482,7.826058520,7.207343521,-0.000429234,0.000353601,0.341110446,0.000100827,0.160712550,0.000743918,1.185761116,-0.743419316,0.776295464,true,OK
1785679099.947760582,0.019284630,0.046109704,7.567485613,6.996140553,0.000026183,0.000027651,-0.241922769,0.000107852,0.164324520,0.000783924,1.194394111,-0.704936166,0.770353014,true,OK
1785679100.947410583,0.004739648,0.107633148,8.202391209,7.276590379,-0.000050591,-0.000070432,-0.063795159,0.000811959,0.284618625,0.006001879,2.103859063,-0.745100803,0.762157746,true,OK
1785679101.947514772,0.116695759,0.012680723,9.062135609,7.288274647,-0.000943511,0.000253152,0.335278673,0.000431090,0.110143430,0.003167424,0.809275945,-0.734802059,0.754011398,true,OK
1785679102.947689533,0.092419722,0.042873759,8.008418541,7.224077825,-0.000389849,-0.000042939,0.116989336,0.000202927,0.141274205,0.001378579,0.959742278,-0.717022686,0.756456082,true,OK
1785679103.947624683,0.148889055,0.066268148,11.976299107,7.175693495,-0.000741599,0.000042984,0.295916440,0.000082276,0.094872788,0.000616930,0.711381308,-0.732292578,0.779108513,true,OK
1785679104.947546482,0.207827259,0.105945314,16.278083622,7.512827033,-0.001115326,0.000125211,0.486190396,0.000163964,0.092787413,0.001257033,0.711357668,-0.740070085,0.778313714,true,OK
1785679105.948407888,0.094682259,0.010268111,9.688302321,7.331393456,-0.000134808,-0.000003411,0.444995597,0.000478944,0.271242046,0.003527719,1.997864314,-0.740147110,0.765760624,true,OK
1785679106.948693514,0.117482259,0.032885297,8.578852576,7.189715232,-0.000181176,-0.000021194,0.227281980,0.000264662,0.134170395,0.001804472,0.914777015,-0.715679365,0.771119497,true,OK
1785679107.947698593,0.021650389,0.065794667,8.361284676,7.170395100,-0.000230299,0.000027522,0.160407164,0.000354793,0.062557256,0.002375084,0.418775536,-0.708532776,0.778010733,true,OK
1785679108.947644949,0.024495204,0.114049111,8.012652415,7.353019488,-0.000143414,0.000053892,0.366254452,0.000331960,0.135620930,0.002461765,1.005744703,-0.699944768,0.783156595,true,OK
1785679109.947633743,0.006892704,0.006779629,7.504599267,7.280274827,0.000408170,-0.000532774,-0.119598582,0.000680814,0.141274205,0.005046270,1.047139653,-0.738186273,0.781291786,true,OK
1785679110.947522640,0.022757592,0.050644704,8.701217783,7.333818702,-0.001254938,-0.000142210,-0.046336158,0.000884025,0.271962471,0.006566639,2.020168081,-0.724516684,0.775328137,true,OK
1785679111.949996948,0.019742315,0.091982407,13.417105727,7.378748807,-0.000774428,0.000419279,0.045806300,0.000490919,0.151951085,0.003619010,1.120169719,-0.678298563,0.771325118,true,OK
1785679112.947528124,0.021635259,0.122564296,8.932687993,7.289553091,-0.000872668,0.000490245,0.210796053,0.000173576,0.125114538,0.001285741,0.926770416,-0.670191995,0.760040220,true,OK
1785679113.947839260,0.123528204,0.026653870,8.571307363,7.260425975,-0.000951019,0.000246008,-0.255031513,0.000154423,0.094872788,0.001048951,0.644443016,-0.770149282,0.765811448,true,OK
1785679114.950282335,0.021221222,0.060841722,8.609440870,7.317888615,-0.001009163,0.000135743,-0.127223312,0.000202558,0.161925496,0.001464910,1.171055563,-0.752990957,0.783623311,true,OK
1785679115.947532892,0.021565574,0.100453908,8.238635812,7.305928647,-0.001238089,0.000581119,-0.093246443,0.000253990,0.181308225,0.001889956,1.349127715,-0.795087106,0.780936715,true,OK
1785679116.950060129,0.125756074,0.010096444,8.692747405,7.310661845,-0.001446305,-0.000028671,-0.225326922,0.000208187,0.096913294,0.001541208,0.717447850,-0.769826684,0.784347126,true,OK
1785679117.947524309,0.017708092,0.047686185,10.564209826,7.324422837,-0.002117625,-0.000054252,-0.004165477,0.000419426,0.164324520,0.003101098,1.214960575,-0.704414441,0.790622806,true,OK
