timestamp,mavros_connected,px4_armed,px4_mode,alignment_complete,rf2o_valid,rf2o_age_sec,aligned_x,aligned_y,aligned_yaw_deg,px4_x,px4_y,px4_yaw_deg,position_difference_m,yaw_difference_deg,publishing_to_px4,rejection_reason
1784822137.369722,false,false,UNKNOWN,false,true,0.123371,nan,nan,nan,1.847657,-1.034894,85.883655,nan,nan,false,mavros_disconnected
1784822138.430544,true,false,AUTO.LOITER,true,true,0.421517,1.866326,-1.030868,85.994337,1.866326,-1.030868,85.994337,0.000000,0.000000,true,none
1784822139.369747,true,false,AUTO.LOITER,true,true,0.057460,1.866349,-1.030627,86.260321,1.860433,-1.023556,86.746180,0.009219,-0.485859,true,none
1784822140.369733,true,false,AUTO.LOITER,true,true,0.162020,1.865515,-1.031823,85.953184,1.863013,-1.029490,86.323626,0.003421,-0.370442,true,none
1784822141.369720,true,false,AUTO.LOITER,true,true,0.362268,1.866021,-1.031171,86.069050,1.886542,-1.043793,86.406812,0.024092,-0.337762,true,none
1784822142.369740,true,false,AUTO.LOITER,true,true,0.061974,1.868167,-1.031819,85.913964,1.874778,-1.037046,86.335839,0.008427,-0.421874,true,none
1784822143.369732,true,false,AUTO.LOITER,true,true,0.156364,1.865410,-1.029770,86.409212,1.871377,-1.032854,86.281740,0.006716,0.127473,true,none
1784822144.369732,true,false,AUTO.LOITER,true,true,0.062628,1.864956,-1.030502,86.400310,1.869867,-1.031372,86.290178,0.004988,0.110131,true,none
1784822145.369756,true,false,AUTO.LOITER,true,true,0.047293,1.865195,-1.030915,85.929583,1.867685,-1.013403,86.319238,0.017688,-0.389654,true,none
1784822146.369947,true,false,AUTO.LOITER,true,true,0.060874,1.865401,-1.029290,85.778824,1.849120,-1.007139,86.342284,0.027491,-0.563460,true,none
1784822147.369730,true,false,AUTO.LOITER,true,true,0.062721,1.863982,-1.031211,85.775890,1.843470,-1.006352,86.255732,0.032228,-0.479842,true,none
1784822148.369689,true,false,AUTO.LOITER,true,true,0.062259,1.864092,-1.031961,85.502145,1.861796,-1.016276,86.203882,0.015852,-0.701737,true,none
1784822149.369722,true,false,AUTO.LOITER,true,true,0.060606,1.864666,-1.032031,85.577678,1.847899,-1.008768,86.163208,0.028676,-0.585530,true,none
1784822150.369766,true,false,AUTO.LOITER,true,true,0.056222,1.863748,-1.031489,85.510792,1.853580,-1.014145,86.116593,0.020105,-0.605802,true,none
1784822151.369732,true,false,AUTO.LOITER,true,true,0.058526,1.863028,-1.032364,85.435711,1.855289,-1.019331,86.076862,0.015157,-0.641150,true,none
1784822152.369923,true,false,AUTO.LOITER,true,true,0.062431,1.862990,-1.033514,85.377180,1.835007,-1.011977,86.036599,0.035310,-0.659419,true,none
1784822153.369727,true,false,AUTO.LOITER,true,true,0.162110,1.863738,-1.033415,85.174337,1.851722,-1.017266,85.987239,0.020129,-0.812902,true,none
1784822154.369743,true,false,AUTO.LOITER,true,true,0.062572,1.862907,-1.033601,85.121067,1.880361,-1.026482,85.977160,0.018851,-0.856092,true,none
1784822155.369719,true,false,AUTO.LOITER,true,true,0.062518,1.863275,-1.032878,85.277783,1.852811,-1.019414,85.931325,0.017052,-0.653542,true,none
1784822156.369763,true,false,AUTO.LOITER,true,true,0.161599,1.863435,-1.032978,84.983716,1.835504,-1.017274,85.893656,0.032042,-0.909939,true,none
1784822157.370502,true,false,AUTO.LOITER,true,true,0.061605,1.863320,-1.032415,85.343690,1.839020,-1.013009,85.858657,0.031098,-0.514967,true,none
1784822158.369736,true,false,AUTO.LOITER,true,true,0.060903,1.863546,-1.031777,85.252640,1.867286,-1.038059,85.813719,0.007311,-0.561079,true,none
1784822159.369730,true,false,AUTO.LOITER,true,true,0.058126,1.863265,-1.032687,85.270873,1.849503,-1.027908,85.767509,0.014568,-0.496636,true,none
1784822160.369712,true,false,AUTO.LOITER,true,true,0.161861,1.863901,-1.032449,84.919811,1.863250,-1.030379,85.735828,0.002170,-0.816017,true,none
1784822161.369723,true,false,AUTO.LOITER,true,true,0.061130,1.864532,-1.031569,84.821056,1.864720,-1.030617,85.695888,0.000970,-0.874832,true,none
1784822162.369723,true,false,AUTO.LOITER,true,true,0.061983,1.864351,-1.031832,85.368027,1.862018,-1.031180,85.654394,0.002422,-0.286367,true,none
1784822163.369760,true,false,AUTO.LOITER,true,true,0.161941,1.865237,-1.032260,85.215580,1.860781,-1.019193,85.640428,0.013806,-0.424848,true,none
1784822164.369730,true,false,AUTO.LOITER,true,true,0.062462,1.865720,-1.031874,84.895973,1.867750,-1.026779,85.628625,0.005484,-0.732652,true,none
1784822165.369702,true,false,AUTO.LOITER,true,true,0.061645,1.865922,-1.030505,85.096225,1.833020,-1.013106,85.607997,0.037219,-0.511772,true,none
1784822166.369720,true,false,AUTO.LOITER,true,true,0.062324,1.865816,-1.029872,85.275328,1.835103,-1.027409,85.590745,0.030812,-0.315417,true,none
1784822167.369709,true,false,AUTO.LOITER,true,true,0.161274,1.865649,-1.028450,86.235593,1.861767,-1.039400,85.581831,0.011618,0.653761,true,none
1784822168.369748,true,false,AUTO.LOITER,true,true,0.064470,1.864899,-1.027121,86.277383,1.847690,-1.031760,85.636803,0.017824,0.640581,true,none
1784822169.369708,true,false,AUTO.LOITER,true,true,0.063791,1.865873,-1.026523,84.990553,1.861495,-1.032298,85.651097,0.007247,-0.660544,true,none
1784822170.369676,true,false,AUTO.LOITER,true,true,0.159570,1.863989,-1.024558,85.033572,1.842417,-1.026104,85.605702,0.021627,-0.572130,true,none
1784822171.369737,true,false,AUTO.LOITER,true,true,0.062680,1.863757,-1.025305,84.706848,1.864438,-1.028199,85.561113,0.002973,-0.854264,true,none
1784822172.369744,true,false,AUTO.LOITER,true,true,0.062200,1.864092,-1.026459,84.604504,1.910515,-1.040676,85.559941,0.048551,-0.955436,true,none
1784822173.369777,true,false,AUTO.LOITER,true,true,0.162116,1.864612,-1.024813,84.667969,1.882537,-1.034677,85.526167,0.020459,-0.858199,true,none
1784822174.369728,true,false,AUTO.LOITER,true,true,0.052272,1.864193,-1.025786,84.772688,1.878826,-1.031535,85.479349,0.015722,-0.706661,true,none
1784822175.369834,true,false,AUTO.LOITER,true,true,0.060146,1.864474,-1.025910,84.912482,1.879821,-1.027932,85.440353,0.015479,-0.527871,true,none
1784822176.369729,true,false,AUTO.LOITER,true,true,0.062830,1.865157,-1.024787,84.882183,1.865876,-1.020913,85.418550,0.003940,-0.536367,true,none
1784822177.370804,true,false,AUTO.LOITER,true,true,0.064980,1.865276,-1.024941,84.857636,1.821291,-1.007447,85.385748,0.047335,-0.528112,true,none
1784822178.369747,true,false,AUTO.LOITER,true,true,0.059959,1.864955,-1.024110,85.224860,1.851922,-1.022205,85.343922,0.013171,-0.119062,true,none
1784822179.369755,true,false,AUTO.LOITER,true,true,0.058750,1.867413,-1.027838,85.727277,1.855452,-1.018655,85.316062,0.015080,0.411215,true,none
1784822180.369733,true,false,AUTO.LOITER,true,true,0.062952,1.866724,-1.025762,86.074331,1.877854,-1.022588,85.336420,0.011574,0.737911,true,none
1784822181.369744,true,false,AUTO.LOITER,true,true,0.058563,1.867134,-1.025908,86.235773,1.866241,-1.018350,85.403412,0.007610,0.832361,true,none
1784822182.369733,true,false,AUTO.LOITER,true,true,0.050593,1.866903,-1.026394,86.423909,1.866840,-1.020659,85.442630,0.005735,0.981279,true,none
1784822183.369739,true,false,AUTO.LOITER,true,true,0.161189,1.866368,-1.026801,85.585188,1.878761,-1.021923,85.491285,0.013319,0.093903,true,none
1784822184.371087,true,false,AUTO.LOITER,true,true,0.062457,1.868445,-1.027440,86.263818,1.874851,-1.013399,85.527820,0.015434,0.735997,true,none
1784822185.369717,true,false,AUTO.LOITER,true,true,0.054891,1.867946,-1.027937,86.536651,1.896118,-1.027644,85.558636,0.028173,0.978014,true,none
1784822186.369731,true,false,AUTO.LOITER,true,true,0.162400,1.868288,-1.028099,86.747359,1.902981,-1.047630,85.607897,0.039813,1.139462,true,none
1784822187.369724,true,false,AUTO.LOITER,true,true,0.064736,1.867004,-1.028289,86.423644,1.896886,-1.045955,85.648023,0.034714,0.775620,true,none
