timestamp,mode,input_size,output_size,declared_span_rad,indexed_span_rad,angular_coverage_ratio,finite_return_ratio,accumulated_segments,revolution_duration_sec,input_rate_hz,output_rate_hz,valid,rejection_reason
1785061135.139847517,unselected,0,720,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,false,CLASSIFYING_INPUT:none
1785061136.139734745,unselected,0,720,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,false,CLASSIFYING_INPUT:none
1785061137.140096664,unselected,1038,720,6.265732050,6.265731607,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,false,CLASSIFYING_INPUT:none
1785061138.139786959,unselected,1032,720,6.265732050,6.265731648,0.000000000,0.000000000,0,0.000000000,7.610154532,0.000000000,false,CLASSIFYING_INPUT:none
1785061139.140014887,unselected,1033,720,6.265732050,6.265731789,0.000000000,0.000000000,0,0.000000000,7.519370029,0.000000000,false,CLASSIFYING_INPUT:none
1785061140.139780045,per_message_full_scan,1033,720,6.265732050,6.265731789,0.997222222,0.869444444,1,0.133558407,7.559445152,7.866988543,true,none
1785061141.139778614,per_message_full_scan,1040,720,6.265732050,6.265732009,0.998611111,0.869444444,1,0.121947840,7.608544285,7.672628791,true,none
1785061142.139753103,per_message_full_scan,1039,720,6.265732050,6.265731823,0.997222222,0.877777778,1,0.133378804,7.545199542,7.554555008,true,none
1785061143.140541077,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.870833333,1,0.132222548,7.499065635,7.501971066,true,none
1785061144.139827013,per_message_full_scan,1035,720,6.265732050,6.265731889,0.997222222,0.881944444,1,0.133903474,7.544841568,7.545367255,true,none
1785061145.140419006,per_message_full_scan,1042,720,6.265732050,6.265731941,0.997222222,0.881944444,1,0.135895580,7.545429260,7.534719916,true,none
1785061146.141251802,per_message_full_scan,1043,720,6.265732050,6.265731754,0.997222222,0.876388889,1,0.131928504,7.546628808,7.550443776,true,none
1785061147.139754057,per_message_full_scan,1040,720,6.265732050,6.265732009,0.998611111,0.881944444,1,0.129534677,7.520372909,7.520054772,true,none
1785061148.139848948,per_message_full_scan,1035,720,6.265732050,6.265731889,0.997222222,0.888888889,1,0.122021794,7.631588536,7.630768199,true,none
1785061149.139929533,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.876388889,1,0.133976325,7.520286397,7.521103723,true,none
1785061150.139817715,per_message_full_scan,1039,720,6.265732050,6.265731823,0.997222222,0.875000000,1,0.131761119,7.482610474,7.475540187,true,none
1785061151.139809847,per_message_full_scan,1041,720,6.265732050,6.265731715,0.997222222,0.884722222,1,0.121941775,7.603312167,7.604671587,true,none
1785061152.140472889,per_message_full_scan,1033,720,6.265732050,6.265731789,0.997222222,0.881944444,1,0.134242207,7.521465957,7.521637575,true,none
1785061153.139875412,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.881944444,1,0.132545248,7.551432040,7.551976959,true,none
1785061154.142833710,per_message_full_scan,1044,720,6.265732050,6.265731669,0.997222222,0.880555556,1,0.132092968,7.522478696,7.522280386,true,none
1785061155.140811682,per_message_full_scan,1041,720,6.265732050,6.265731715,0.997222222,0.886111111,1,0.134511486,7.508156401,7.520246309,true,none
1785061156.139824629,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.879166667,1,0.133367792,7.490706942,7.494083217,true,none
1785061157.139831543,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.873611111,1,0.133936137,7.590449494,7.594121676,true,none
1785061158.139820576,per_message_full_scan,1040,720,6.265732050,6.265732009,0.998611111,0.865277778,1,0.133279607,7.522590491,7.529631431,true,none
1785061159.139920950,per_message_full_scan,1036,720,6.265732050,6.265731915,0.997222222,0.863888889,1,0.134325981,7.501386199,7.502406775,true,none
1785061160.139843702,per_message_full_scan,1034,720,6.265732050,6.265731698,0.997222222,0.868055556,1,0.134140834,7.557079788,7.557099292,true,none
1785061161.139863491,per_message_full_scan,1040,720,6.265732050,6.265732009,0.998611111,0.852777778,1,0.120180711,7.631395383,7.616532930,true,none
1785061162.139849663,per_message_full_scan,1039,720,6.265732050,6.265731823,0.997222222,0.884722222,1,0.133397505,7.573467210,7.576402791,true,none
1785061163.139833689,per_message_full_scan,1035,720,6.265732050,6.265731889,0.997222222,0.863888889,1,0.135999724,7.470456422,7.470010229,true,none
1785061164.139826536,per_message_full_scan,1036,720,6.265732050,6.265731915,0.997222222,0.872222222,1,0.133946851,7.540278111,7.538178803,true,none
1785061165.139984131,per_message_full_scan,1035,720,6.265732050,6.265731889,0.997222222,0.876388889,1,0.133949205,7.495913130,7.496024765,true,none
1785061166.139825583,per_message_full_scan,1040,720,6.265732050,6.265732009,0.998611111,0.873611111,1,0.131198764,7.561145916,7.565419685,true,none
1785061167.139845133,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.880555556,1,0.136553466,7.472273822,7.468513083,true,none
1785061168.139939070,per_message_full_scan,1034,720,6.265732050,6.265731698,0.997222222,0.880555556,1,0.131436765,7.550867045,7.551668767,true,none
1785061169.139830351,per_message_full_scan,1039,720,6.265732050,6.265731823,0.997222222,0.873611111,1,0.133568600,7.493470102,7.494135628,true,none
1785061170.139856339,per_message_full_scan,1042,720,6.265732050,6.265731941,0.997222222,0.880555556,1,0.134043723,7.536179090,7.537148886,true,none
1785061171.139808416,per_message_full_scan,1034,720,6.265732050,6.265731698,0.997222222,0.868055556,1,0.134315670,7.511510387,7.511662081,true,none
1785061172.139858246,per_message_full_scan,1034,720,6.265732050,6.265731698,0.997222222,0.884722222,1,0.134246260,7.528010508,7.528029478,true,none
1785061173.139879465,per_message_full_scan,1040,720,6.265732050,6.265732009,0.998611111,0.875000000,1,0.132849023,7.489733264,7.490650195,true,none
1785061174.139990330,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.866666667,1,0.133896142,7.579423739,7.580682200,true,none
1785061175.139851093,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.872222222,1,0.134213537,7.524100406,7.524118177,true,none
1785061176.139918804,per_message_full_scan,1040,720,6.265732050,6.265732009,0.998611111,0.865277778,1,0.133776173,7.480252287,7.480772415,true,none
1785061177.139837265,per_message_full_scan,1040,720,6.265732050,6.265732009,0.998611111,0.858333333,1,0.133115247,7.576585932,7.576334029,true,none
1785061178.139842749,per_message_full_scan,1040,720,6.265732050,6.265732009,0.998611111,0.865277778,1,0.132987708,7.508879584,7.508700959,true,none
1785061179.139857054,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.866666667,1,0.134130716,7.487257063,7.487312945,true,none
1785061180.139821291,per_message_full_scan,1041,720,6.265732050,6.265731715,0.997222222,0.863888889,1,0.120851032,7.571201407,7.575890058,true,none
1785061181.139801502,per_message_full_scan,1031,720,6.265732050,6.265731719,0.997222222,0.869444444,1,0.121746004,7.652990108,7.654309671,true,none
1785061182.139757633,per_message_full_scan,1031,720,6.265732050,6.265731719,0.997222222,0.869444444,1,0.133974463,7.535807383,7.536948002,true,none
1785061183.139823198,per_message_full_scan,1040,720,6.265732050,6.265732009,0.998611111,0.863888889,1,0.136651516,7.533581187,7.533834182,true,none
1785061184.139789343,per_message_full_scan,1033,720,6.265732050,6.265731789,0.997222222,0.861111111,1,0.122348651,7.635277178,7.635151846,true,none
1785061185.139776707,per_message_full_scan,1035,720,6.265732050,6.265731889,0.997222222,0.872222222,1,0.133789971,7.522716673,7.522991500,true,none
1785061186.139884949,per_message_full_scan,1034,720,6.265732050,6.265731698,0.997222222,0.875000000,1,0.134046718,7.562551686,7.563539253,true,none
1785061187.139869213,per_message_full_scan,1033,720,6.265732050,6.265731789,0.997222222,0.870833333,1,0.134697080,7.568688480,7.567652707,true,none
1785061188.139787197,per_message_full_scan,1032,720,6.265732050,6.265731648,0.997222222,0.862500000,1,0.134011105,7.605156446,7.605930510,true,none
1785061189.139806271,per_message_full_scan,1032,720,6.265732050,6.265731648,0.997222222,0.868055556,1,0.121653333,7.655947186,7.656479775,true,none
1785061190.139807940,per_message_full_scan,1031,720,6.265732050,6.265731719,0.997222222,0.863888889,1,0.121821702,7.650876731,7.651627876,true,none
1785061191.139986753,per_message_full_scan,1031,720,6.265732050,6.265731719,0.997222222,0.862500000,1,0.132772937,7.532699062,7.533037945,true,none
1785061192.139792442,per_message_full_scan,1032,720,6.265732050,6.265731648,0.997222222,0.868055556,1,0.134040922,7.531981427,7.531741187,true,none
1785061193.139795542,per_message_full_scan,1031,720,6.265732050,6.265731719,0.997222222,0.862500000,1,0.134138867,7.568022692,7.567995386,true,none
1785061194.139855862,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.866666667,1,0.134969786,7.569792474,7.569901557,true,none
1785061195.139846087,per_message_full_scan,1039,720,6.265732050,6.265731823,0.997222222,0.872222222,1,0.130907655,7.503530115,7.505067301,true,none
1785061196.139841557,per_message_full_scan,1037,720,6.265732050,6.265731810,0.997222222,0.866666667,1,0.121114612,7.632850797,7.632826142,true,none
1785061197.140227556,per_message_full_scan,1037,720,6.265732050,6.265731810,0.997222222,0.879166667,1,0.134123594,7.523425013,7.524069418,true,none
1785061198.139842749,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.862500000,1,0.134172603,7.479586494,7.479965303,true,none
1785061199.139827967,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.875000000,1,0.134180263,7.546416748,7.546424765,true,none
1785061200.139842987,per_message_full_scan,1035,720,6.265732050,6.265731889,0.997222222,0.872222222,1,0.133972540,7.492919205,7.492580372,true,none
1785061201.139796734,per_message_full_scan,1031,720,6.265732050,6.265731719,0.997222222,0.866666667,1,0.133792967,7.527929986,7.527675493,true,none
1785061202.139810324,per_message_full_scan,1030,720,6.265732050,6.265731969,0.998611111,0.870833333,1,0.134090737,7.565506019,7.565266078,true,none
1785061203.140585661,per_message_full_scan,1039,720,6.265732050,6.265731823,0.997222222,0.862500000,1,0.134268612,7.568473451,7.567841039,true,none
1785061204.141285896,per_message_full_scan,1039,720,6.265732050,6.265731823,0.997222222,0.879166667,1,0.134159729,7.472215605,7.472781889,true,none
1785061205.140109301,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.859722222,1,0.134212822,7.588759026,7.588851818,true,none
1785061206.139847517,per_message_full_scan,1037,720,6.265732050,6.265731810,0.997222222,0.879166667,1,0.133746147,7.521197348,7.522565886,true,none
1785061207.139873028,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.881944444,1,0.121718399,7.572315009,7.572459838,true,none
1785061208.139824629,per_message_full_scan,1039,720,6.265732050,6.265731823,0.997222222,0.883333333,1,0.130877331,7.551793530,7.554399378,true,none
1785061209.139831066,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.877777778,1,0.133016095,7.475643958,7.475786024,true,none
1785061210.139793873,per_message_full_scan,1036,720,6.265732050,6.265731915,0.997222222,0.876388889,1,0.134232372,7.544357320,7.543990395,true,none
1785061211.139902830,per_message_full_scan,1031,720,6.265732050,6.265731719,0.997222222,0.863888889,1,0.133426666,7.598820882,7.598486742,true,none
1785061212.139911890,per_message_full_scan,1037,720,6.265732050,6.265731810,0.997222222,0.880555556,1,0.121562675,7.640664076,7.640877584,true,none
1785061213.139864683,per_message_full_scan,1040,720,6.265732050,6.265732009,0.998611111,0.883333333,1,0.134102076,7.555991911,7.554750854,true,none
1785061214.139975071,per_message_full_scan,1033,720,6.265732050,6.265731789,0.997222222,0.876388889,1,0.000004685,28.898060281,6.789866199,true,none
1785061215.140209675,per_message_full_scan,1035,720,6.265732050,6.265731889,0.997222222,0.863888889,1,0.134285703,12.061207162,7.394610585,true,none
1785061216.139930487,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.880555556,1,0.121904030,8.372486498,7.589551063,true,none
1785061217.139806747,per_message_full_scan,1032,720,6.265732050,6.265731648,0.997222222,0.868055556,1,0.133943245,7.709787418,7.546084316,true,none
1785061218.139792442,per_message_full_scan,1037,720,6.265732050,6.265731810,0.997222222,0.869444444,1,0.134360418,7.551737440,7.525033768,true,none
1785061219.139853716,per_message_full_scan,1033,720,6.265732050,6.265731789,0.997222222,0.863888889,1,0.133556366,7.564792807,7.560041202,true,none
1785061220.139771938,per_message_full_scan,1040,720,6.265732050,6.265732009,0.998611111,0.868055556,1,0.130122662,7.505530311,7.505071470,true,none
1785061221.139918089,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.877777778,1,0.135409564,7.511067307,7.509540313,true,none
1785061222.139782190,per_message_full_scan,1036,720,6.265732050,6.265731915,0.997222222,0.866666667,1,0.122131549,7.616584636,7.613627386,true,none
1785061223.139816999,per_message_full_scan,1030,720,6.265732050,6.265731969,0.998611111,0.875000000,1,0.121834293,7.650832883,7.650724305,true,none
1785061224.139781237,per_message_full_scan,1035,720,6.265732050,6.265731889,0.997222222,0.876388889,1,0.132771581,7.533434811,7.533378567,true,none
1785061225.139815331,per_message_full_scan,1039,720,6.265732050,6.265731823,0.997222222,0.862500000,1,0.134138301,7.554825604,7.554317208,true,none
1785061226.139791727,per_message_full_scan,1031,720,6.265732050,6.265731719,0.997222222,0.870833333,1,0.121682361,7.642916239,7.643075056,true,none
1785061227.139840603,per_message_full_scan,1036,720,6.265732050,6.265731915,0.997222222,0.865277778,1,0.119375065,7.659804837,7.616082952,true,none
1785061228.141121387,per_message_full_scan,1039,720,6.265732050,6.265731823,0.997222222,0.866666667,1,0.133187905,7.505876481,7.506406654,true,none
1785061229.139821291,per_message_full_scan,1034,720,6.265732050,6.265731698,0.997222222,0.872222222,1,0.121870942,7.631113967,7.635415606,true,none
1785061230.139875412,per_message_full_scan,1040,720,6.265732050,6.265732009,0.998611111,0.863888889,1,0.129594222,7.470418559,7.480264446,true,none
1785061231.147421122,per_message_full_scan,1039,720,6.265732050,6.265731823,0.997222222,0.877777778,1,0.131286412,7.496258338,7.500928130,true,none
1785061232.139834404,per_message_full_scan,1038,720,6.265732050,6.265731607,0.997222222,0.872222222,1,0.132870689,7.591802123,7.598471525,true,none
1785061233.139840841,per_message_full_scan,1037,720,6.265732050,6.265731810,0.997222222,0.870833333,1,0.133683398,7.526296188,7.526712074,true,none
1785061234.139817953,per_message_full_scan,1032,720,6.265732050,6.265731648,0.997222222,0.872222222,1,0.133981019,7.583049677,7.584134659,true,none
