timestamp,raw_odom_age_sec,scan_age_sec,rf2o_rate_hz,scan_rate_hz,x,y,yaw_deg,delta_translation_m,delta_yaw_deg,translation_speed_mps,yaw_rate_degps,roll_deg,pitch_deg,valid,status_reason
1784907575.539733171,inf,0.008767074,0.000000000,7.138923203,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.240621312,1.367005988,false,WAITING_FOR_ODOM
1784907576.539505005,inf,0.075493659,0.000000000,733.312242774,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.254798023,1.358264372,false,WAITING_FOR_ODOM
1784907577.539557934,inf,0.132977415,0.000000000,159.694959871,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.247528628,1.363269071,false,WAITING_FOR_ODOM
1784907578.539569855,0.056017784,0.047087913,6.826904537,32.934815879,0.000104518,-0.000387206,-0.113707615,0.000429279,0.237388267,0.003179277,1.758119302,0.255659857,1.350249962,true,OK
1784907579.539859056,0.067880008,0.101797800,8.570120123,12.728912384,0.000035183,0.000006649,0.294364425,0.000352911,0.353877837,0.002586432,2.593514491,0.255135216,1.339805605,true,OK
1784907580.541036844,0.073109683,0.022161086,8.416681059,8.287470157,-0.000296900,-0.000207936,-0.046839029,0.000776399,0.343211296,0.005818416,2.572060291,0.244600248,1.340840367,true,OK
1784907581.540212631,0.166086324,0.079561498,9.117296394,7.641056202,0.001066513,-0.000912784,0.143850691,0.000374956,0.117033931,0.002747350,0.857521237,0.244221083,1.351018902,true,OK
1784907582.539687395,0.072256730,0.133303657,8.468312386,7.478242083,0.000387519,-0.000125566,-0.031593103,0.000459772,0.382572983,0.003455491,2.875289725,0.237059175,1.343391966,true,OK
1784907583.539571285,0.072742396,0.051453209,7.911211735,7.418833957,0.000152419,-0.000486224,-0.007361173,0.000324180,0.150657858,0.002424337,1.126673529,0.248852912,1.338897652,true,OK
1784907584.541269302,0.076119804,0.108449795,9.143015583,7.434920114,0.000547835,-0.000858583,-0.248853717,0.000768677,0.213062455,0.005680982,1.574659446,0.246506021,1.353857926,true,OK
1784907585.539571762,0.075202904,0.026600878,8.231110155,7.426150100,0.000452531,-0.000164156,0.118997053,0.001114213,0.285990293,0.008246377,2.116636119,0.240442569,1.341414610,true,OK
1784907586.540616035,0.176154790,0.081972126,8.720349435,7.454410669,0.000437220,-0.000734245,0.120517397,0.000201321,0.117033931,0.001490994,0.866759658,0.244221733,1.341046468,true,OK
1784907587.578675270,0.388987449,0.440078702,8.242957373,7.389046588,0.000235566,-0.001173714,-0.311387254,0.001161252,0.394161119,0.008468698,2.874509877,0.241233163,1.338994530,true,OK
