[INFO] [launch]: All log files can be found below /home/pi5drone/.ros/log/2026-08-02-21-05-06-974533-pi5drone-desktop-15325
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [submap_slam_2d_node-1]: process started with pid [15352]
[submap_slam_2d_node-1] [WARN] [1785680060.273374158] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680065.298670618] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680070.345095374] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680075.401461575] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680080.415363109] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680085.653657939] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680090.658059529] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680095.670335859] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680100.674516949] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680105.707153835] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680110.765662239] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680115.815033995] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680120.835596418] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680125.858311415] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680130.904723079] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680135.932669613] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680140.978284055] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680145.990302144] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680151.012932289] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680156.060725546] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680161.085365598] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680166.101429243] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680171.154788814] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680176.181986626] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680181.222332808] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680186.248143639] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680191.261694876] [submap_slam_2d]: Rejected scan: coarse_match_failed
