timestamp,raw_odom_age_sec,scan_age_sec,rf2o_rate_hz,scan_rate_hz,x,y,yaw_deg,delta_translation_m,delta_yaw_deg,translation_speed_mps,yaw_rate_degps,roll_deg,pitch_deg,valid,status_reason
1784821370.089683056,inf,0.097915705,0.000000000,7.442637254,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,false,WAITING_FOR_ODOM
1784821371.089477539,inf,0.057683369,0.000000000,7.257331015,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,false,WAITING_FOR_ODOM
1784821372.089518785,inf,0.009035004,0.000000000,1327.050272971,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,false,WAITING_FOR_ODOM
1784821373.091433287,inf,0.076350873,0.000000000,743.691914786,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.677894291,1.169381242,false,WAITING_FOR_ODOM
1784821374.091216803,0.086261409,0.050277179,7.418464363,131.278664641,0.004714208,0.005543532,0.471694778,0.000352458,0.111905833,0.002534376,0.804667692,-0.686669629,1.196611261,true,OK
1784821375.089524746,0.088638058,0.127268000,9.601387470,33.612796823,0.003291802,0.005024963,0.629494148,0.000892130,0.148037520,0.007279831,1.207994795,-0.675919702,1.182364100,true,OK
1784821376.089539289,0.085871339,0.071655202,8.461219460,12.000617887,0.004695515,0.007277989,0.718071723,0.000662207,0.113640914,0.005389871,0.924952601,-0.647384892,1.170146239,true,OK
1784821377.091464043,0.088339047,0.028632118,8.516192640,8.402644633,0.001496415,0.002511568,0.528289708,0.000576682,0.142652530,0.004686658,1.159327287,-0.688843058,1.172659360,true,OK
1784821378.089502573,0.189043828,0.106803796,8.848659229,7.845480373,0.002586677,0.002777928,1.034619648,0.000637889,0.086229231,0.005172065,0.699154667,-0.742394752,1.182869203,true,OK
1784821379.089498997,0.084488118,0.049755676,7.988980370,7.622912763,0.002035285,0.003298728,1.087277488,0.000273589,0.034264021,0.002025380,0.253656535,-0.684732357,1.178221933,true,OK
1784821380.089534283,0.090661466,0.005507489,8.045831481,7.268812502,0.001844097,0.002904373,1.057231570,0.000543502,0.000000000,0.004419925,0.000000000,-0.647882187,1.169128017,true,OK
1784821381.089511156,0.019653861,0.096661684,11.314209096,7.653155894,0.002482112,0.002097119,0.963576643,0.000341932,0.263187172,0.002810412,2.163193523,-0.667840164,1.177007158,true,OK
1784821382.089538574,0.011702014,0.051101097,9.183275899,7.695932143,0.001955267,0.003726938,0.720047148,0.000351516,0.128204252,0.002868233,1.046096266,-0.663653254,1.155162391,true,OK
1784821383.089536667,0.014349139,0.131809739,8.092908128,7.688330247,0.002443402,0.004335543,1.061926201,0.000772931,0.106531181,0.006291786,0.867180999,-0.708808360,1.177822042,true,OK
1784821384.089614153,0.014622795,0.075951990,8.477521269,7.620946949,0.002698712,0.004134189,0.877404211,0.000375249,0.277658662,0.002812322,2.080926660,-0.683032846,1.164863617,true,OK
1784821385.089567900,0.111319487,0.031668141,8.632006275,7.670078916,0.003331649,0.003317047,0.994834560,0.000237871,0.148037520,0.001967377,1.224384461,-0.711050271,1.173551266,true,OK
1784821386.089542866,0.206092070,0.107777401,9.160116089,7.601072096,0.003713439,0.003714604,1.041030464,0.000314561,0.079129369,0.002353910,0.592137675,-0.666772177,1.169961955,true,OK
1784821387.089517355,0.031418202,0.022590789,9.757469306,7.412036272,0.003397821,0.004586698,1.155420775,0.000359215,0.117033931,0.002762361,0.899989486,-0.673268908,1.173149544,true,OK
1784821388.089556694,0.096282268,0.005703223,9.260213432,7.736047336,0.005151923,0.005830730,1.179300590,0.000321553,0.102792073,0.002620136,0.837587705,-0.724226514,1.196960119,true,OK
1784821389.089588881,0.015042889,0.087974472,8.604297158,7.683943573,0.004033347,0.004182431,1.207722145,0.000435176,0.139882314,0.003343094,1.074600107,-0.655766496,1.158919704,true,OK
1784821390.091136932,0.100479363,0.035686245,8.791576260,7.763184464,0.005044493,0.006066311,1.586865229,0.000859333,0.034264021,0.006444031,0.256941695,-0.716266147,1.188910854,true,OK
1784821391.089514256,0.017860505,0.123402110,8.562086348,7.716961591,0.004786511,0.005718647,1.518839346,0.000776014,0.355532771,0.005828266,2.670233500,-0.672873585,1.198720347,true,OK
1784821392.089620829,0.019620896,0.079639975,8.797506460,7.761960881,0.005120863,0.006271272,1.057174208,0.000590886,0.228141232,0.004801712,1.853941769,-0.713434564,1.193673394,true,OK
1784821393.089653492,0.113657174,0.030775421,9.079739687,7.660295702,0.005202265,0.006250071,1.061064602,0.000590289,0.000000000,0.004346130,0.000000000,-0.685469222,1.165702049,true,OK
1784821394.090106010,0.017949738,0.107743127,9.066972825,7.630872880,0.004770521,0.006639046,1.388122254,0.000232938,0.076616680,0.001893874,0.622921608,-0.680684795,1.157697656,true,OK
1784821395.089567661,0.018586902,0.071109317,9.077892709,7.760700955,0.004636600,0.006583298,1.308342858,0.000417457,0.113640914,0.003405595,0.927078225,-0.639522248,1.157887968,true,OK
1784821396.089819431,0.099444747,0.015046386,8.784957014,7.624861009,0.004876366,0.004966047,0.793728965,0.000649047,0.144017660,0.004794832,1.063929303,-0.662517331,1.154046118,true,OK
1784821397.089577913,0.013389113,0.102985873,8.594654520,7.688994302,0.006127307,0.004573806,1.163799766,0.000528329,0.159490387,0.004315070,1.302619423,-0.677433855,1.188029006,true,OK
1784821398.090475082,0.003333867,0.049870846,8.468296471,7.292643021,0.005909208,0.005388340,1.138832597,0.000291931,0.106531181,0.002161060,0.788611344,-0.660186805,1.187586296,true,OK
1784821399.090261936,0.006472989,0.122054378,7.994007097,7.462677272,0.005635435,0.004853287,1.136787189,0.000275541,0.120331298,0.002012829,0.879021623,-0.683674821,1.183093925,true,OK
1784821400.091324091,0.003454222,0.070496430,8.768990080,7.553917297,0.005569447,0.004664807,1.333660428,0.000178900,0.113640914,0.001325746,0.842139365,-0.668523863,1.183838383,true,OK
1784821401.089629889,0.114992948,0.027744410,9.212446163,7.700436662,0.005884734,0.004945138,1.207642897,0.000247772,0.142652530,0.001836730,1.057480849,-0.698472003,1.194287756,true,OK
1784821402.089613676,0.112427298,0.104164027,7.932441443,7.648728441,0.005444536,0.005126588,1.393708123,0.000461005,0.391671141,0.003754568,3.189893873,-0.657976064,1.193563717,true,OK
1784821403.089511395,0.008317848,0.044448078,9.511158084,7.585533230,0.004752953,0.004969500,1.412943291,0.000660207,0.059347027,0.004877703,0.438463972,-0.729227870,1.172729501,true,OK
1784821404.094240189,0.014544818,0.007362735,8.086225015,7.682873385,0.005184019,0.004474400,1.248900842,0.000118019,0.108352360,0.000872865,0.801369009,-0.675488083,1.212675600,true,OK
1784821405.090992212,0.014286240,0.087054215,8.536243254,7.697260147,0.005473023,0.004600690,1.716137714,0.000426903,0.115349902,0.003478743,0.939961501,-0.672191637,1.158866340,true,OK
