timestamp,message_index,ranges_size,intensities_size,angle_min,angle_max,angle_increment,declared_span_rad,indexed_span_rad,declared_span_deg,indexed_span_deg,scan_time,time_increment,range_min,range_max,finite_count,finite_ratio,frame_id,timestamp_monotonic,input_rate_hz,publisher_count,classification
1785679179.777467966,23,1066,1066,-3.124139309,3.141592741,0.005883316,6.265732050,6.265731587,359.000002022,358.999975475,0.134188026,0.000125998,0.150000006,12.000000000,789,0.740150094,"laser_frame",true,190.031828021,1,FULL_REVOLUTION
1785679179.924872160,24,1063,1063,-3.124139309,3.141592741,0.005899936,6.265732050,6.265731990,359.000002022,358.999998606,0.146277890,0.000137738,0.150000006,12.000000000,791,0.744120414,"laser_frame",true,153.382511098,1,FULL_REVOLUTION
1785679180.063194275,25,1061,1061,-3.124139309,3.141592741,0.005911068,6.265732050,6.265731649,359.000002022,358.999979076,0.137249351,0.000129481,0.150000006,12.000000000,799,0.753063148,"laser_frame",true,124.150093333,1,FULL_REVOLUTION
1785679180.194974422,26,1060,1060,-3.124139309,3.141592741,0.005916649,6.265732050,6.265731795,359.000002022,358.999987401,0.130619004,0.000123342,0.150000006,12.000000000,793,0.748113208,"laser_frame",true,100.389883032,1,FULL_REVOLUTION
1785679180.330164909,27,1060,1060,-3.124139309,3.141592741,0.005916649,6.265732050,6.265731795,359.000002022,358.999987401,0.134141549,0.000126668,0.150000006,12.000000000,793,0.748113208,"laser_frame",true,82.804719397,1,FULL_REVOLUTION
1785679180.465305805,28,1059,1059,-3.124139309,3.141592741,0.005922242,6.265732050,6.265731615,359.000002022,358.999977102,0.133794442,0.000126460,0.150000006,12.000000000,787,0.743153919,"laser_frame",true,67.727205809,1,FULL_REVOLUTION
1785679180.601153851,29,1059,1059,-3.124139309,3.141592741,0.005922242,6.265732050,6.265731615,359.000002022,358.999977102,0.134770215,0.000127382,0.150000006,12.000000000,787,0.743153919,"laser_frame",true,55.654610679,1,FULL_REVOLUTION
1785679180.735579491,30,1061,1061,-3.124139309,3.141592741,0.005911068,6.265732050,6.265731649,359.000002022,358.999979076,0.132893160,0.000125371,0.150000006,12.000000000,787,0.741753063,"laser_frame",true,46.011900868,1,FULL_REVOLUTION
1785679180.870700598,31,1060,1060,-3.124139309,3.141592741,0.005916649,6.265732050,6.265731795,359.000002022,358.999987401,0.134100169,0.000126629,0.150000006,12.000000000,802,0.756603774,"laser_frame",true,38.289582818,1,FULL_REVOLUTION
1785679181.006193876,32,1059,1059,-3.124139309,3.141592741,0.005922242,6.265732050,6.265731615,359.000002022,358.999977102,0.134430215,0.000127061,0.150000006,12.000000000,800,0.755429651,"laser_frame",true,32.106898543,1,FULL_REVOLUTION
1785679181.140823841,33,1061,1061,-3.124139309,3.141592741,0.005911068,6.265732050,6.265731649,359.000002022,358.999979076,0.133545145,0.000125986,0.150000006,12.000000000,793,0.747408106,"laser_frame",true,27.154402171,1,FULL_REVOLUTION
1785679181.275683403,34,1064,1064,-3.124139309,3.141592741,0.005894386,6.265732050,6.265732046,359.000002022,359.000001781,0.133947700,0.000126009,0.150000006,12.000000000,793,0.745300752,"laser_frame",true,23.225102364,1,FULL_REVOLUTION
1785679181.413383245,35,1064,1064,-3.124139309,3.141592741,0.005894386,6.265732050,6.265732046,359.000002022,359.000001781,0.136828363,0.000128719,0.150000006,12.000000000,794,0.746240602,"laser_frame",true,20.030479694,1,FULL_REVOLUTION
1785679181.546980858,36,1071,1071,-3.124139309,3.141592741,0.005855824,6.265732050,6.265732036,359.000002022,359.000001221,0.132396221,0.000123735,0.150000006,12.000000000,795,0.742296919,"laser_frame",true,17.521606829,1,FULL_REVOLUTION
1785679181.681059361,37,1074,1074,-3.124139309,3.141592741,0.005839452,6.265732050,6.265731655,359.000002022,358.999979370,0.132687986,0.000123661,0.150000006,12.000000000,798,0.743016760,"laser_frame",true,15.493945213,1,FULL_REVOLUTION
1785679181.829082966,38,1078,1078,-3.124139309,3.141592741,0.005817764,6.265732050,6.265731799,359.000002022,358.999987641,0.145742089,0.000135322,0.150000006,12.000000000,803,0.744897959,"laser_frame",true,13.746108927,1,FULL_REVOLUTION
1785679181.977813244,39,1079,1079,-3.124139309,3.141592741,0.005812367,6.265732050,6.265731581,359.000002022,358.999975181,0.137651369,0.000127691,0.150000006,12.000000000,812,0.752548656,"laser_frame",true,12.305349356,1,FULL_REVOLUTION
1785679182.098923206,40,1080,1080,-3.124139309,3.141592741,0.005806980,6.265732050,6.265731624,359.000002022,358.999977609,0.115239441,0.000106802,0.150000006,12.000000000,804,0.744444444,"laser_frame",true,11.574958862,1,FULL_REVOLUTION
1785679182.234281778,41,1082,1082,-3.124139309,3.141592741,0.005796236,6.265732050,6.265731604,359.000002022,358.999976488,0.134494811,0.000124417,0.150000006,12.000000000,803,0.742144177,"laser_frame",true,10.737888182,1,FULL_REVOLUTION
1785679182.381530046,42,1080,1080,-3.124139309,3.141592741,0.005806980,6.265732050,6.265731624,359.000002022,358.999977609,0.145336226,0.000134695,0.150000006,12.000000000,817,0.756481481,"laser_frame",true,9.939343957,1,FULL_REVOLUTION
1785679182.516496420,43,1077,1077,-3.124139309,3.141592741,0.005823171,6.265732050,6.265731744,359.000002022,358.999984519,0.132800043,0.000123420,0.150000006,12.000000000,817,0.758588672,"laser_frame",true,9.444236315,1,FULL_REVOLUTION
1785679182.652500391,44,1075,1075,-3.124139309,3.141592741,0.005834015,6.265732050,6.265731703,359.000002022,358.999982118,0.133858755,0.000124636,0.150000006,12.000000000,803,0.746976744,"laser_frame",true,9.021496325,1,FULL_REVOLUTION
1785679182.786667585,45,1072,1072,-3.124139309,3.141592741,0.005850357,6.265732050,6.265731852,359.000002022,358.999990682,0.132649109,0.000123855,0.150000006,12.000000000,810,0.755597015,"laser_frame",true,8.710408335,1,FULL_REVOLUTION
1785679182.922086477,46,1075,1075,-3.124139309,3.141592741,0.005834015,6.265732050,6.265731703,359.000002022,358.999982118,0.134300321,0.000125047,0.150000006,12.000000000,814,0.757209302,"laser_frame",true,8.439208323,1,FULL_REVOLUTION
