timestamp,mode,input_size,output_size,declared_span_rad,indexed_span_rad,angular_coverage_ratio,finite_return_ratio,accumulated_segments,revolution_duration_sec,input_rate_hz,output_rate_hz,valid,rejection_reason
1784908985.991075039,per_message_full_scan,0,720,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,false,INITIALIZING:none
1784908986.990947247,per_message_full_scan,720,720,6.274458647,6.274458612,0.886111111,0.886111111,1,0.134051025,7.557568798,6.764420478,true,none
1784908988.009575129,per_message_full_scan,720,720,6.274458647,6.274458612,0.883333333,0.883333333,1,0.132411301,7.659415110,7.584467847,true,none
1784908988.992319584,per_message_full_scan,720,720,6.274458647,6.274458612,0.881944444,0.881944444,1,0.120691158,7.737370810,8.044393574,true,none
1784908989.991066456,per_message_full_scan,720,720,6.274458647,6.274458612,0.891666667,0.891666667,1,0.134163171,7.604693056,7.657525195,true,none
1784908990.998584032,per_message_full_scan,720,720,6.274458647,6.274458612,0.869444444,0.869444444,1,0.134049833,7.622105143,7.880687362,true,none
1784908991.992132902,per_message_full_scan,720,720,6.274458647,6.274458612,0.884722222,0.884722222,1,0.122021697,19.702847164,7.398903896,true,none
1784908992.991096973,per_message_full_scan,720,720,6.274458647,6.274458612,0.872222222,0.872222222,1,0.121702157,9.742162636,7.961530274,true,none
1784908993.992415905,per_message_full_scan,720,720,6.274458647,6.274458612,0.880555556,0.880555556,1,0.134322479,8.093242905,7.566349053,true,none
1784908994.991021395,per_message_full_scan,720,720,6.274458647,6.274458612,0.880555556,0.880555556,1,0.120401956,7.822030118,8.184943476,true,none
1784908995.991023302,per_message_full_scan,720,720,6.274458647,6.274458612,0.879166667,0.879166667,1,0.134204119,7.649305115,7.642811427,true,none
1784908996.991166353,per_message_full_scan,720,720,6.274458647,6.274458612,0.875000000,0.875000000,1,0.121645391,7.730396613,7.580209699,true,none
1784908997.991011858,per_message_full_scan,720,720,6.274458647,6.274458612,0.886111111,0.886111111,1,0.121811166,7.751013610,7.744179148,true,none
1784908999.013517618,per_message_full_scan,720,720,6.274458647,6.274458612,0.870833333,0.870833333,1,0.133741319,7.602115651,7.594593001,true,none
1784908999.991012335,per_message_full_scan,720,720,6.274458647,6.274458612,0.879166667,0.879166667,1,0.133278087,7.680225084,7.762988637,true,none
1784909000.992049694,per_message_full_scan,720,720,6.274458647,6.274458612,0.877777778,0.877777778,1,0.121923603,7.720186383,8.079709771,true,none
1784909002.001371622,per_message_full_scan,720,720,6.274458647,6.274458612,0.880555556,0.880555556,1,0.131524697,7.615923901,7.660494294,true,none
1784909002.990928173,per_message_full_scan,720,720,6.274458647,6.274458612,0.879166667,0.879166667,1,0.121780269,7.719019833,8.006505345,true,none
1784909003.991436481,per_message_full_scan,720,720,6.274458647,6.274458612,0.879166667,0.879166667,1,0.134145349,7.647551385,7.906523092,true,none
1784909005.022794724,per_message_full_scan,720,720,6.274458647,6.274458612,0.877777778,0.877777778,1,0.134024277,7.637767047,7.628208065,true,none
1784909005.990938902,per_message_full_scan,720,720,6.274458647,6.274458612,0.876388889,0.876388889,1,0.134193599,7.612667804,7.628659567,true,none
1784909006.992393970,per_message_full_scan,720,720,6.274458647,6.274458612,0.873611111,0.873611111,1,0.134234041,115.576952827,6.929293279,true,none
1784909007.991244078,per_message_full_scan,720,720,6.274458647,6.274458612,0.884722222,0.884722222,1,0.134396404,29.762933316,7.290623050,true,none
1784909008.991281271,per_message_full_scan,720,720,6.274458647,6.274458612,0.873611111,0.873611111,1,0.132322907,11.621021786,7.979072179,true,none
1784909009.991962671,per_message_full_scan,720,720,6.274458647,6.274458612,0.884722222,0.884722222,1,0.134244621,8.639415042,7.632414761,true,none
1784909010.990974426,per_message_full_scan,720,720,6.274458647,6.274458612,0.870833333,0.870833333,1,0.134128124,7.724487448,7.422108277,true,none
1784909011.998165131,per_message_full_scan,720,720,6.274458647,6.274458612,0.886111111,0.886111111,1,0.124324434,7.568080267,7.441692331,true,none
1784909012.991154671,per_message_full_scan,720,720,6.274458647,6.274458612,0.881944444,0.881944444,1,0.133342281,7.646560056,7.553226102,true,none
1784909013.991011620,per_message_full_scan,720,720,6.274458647,6.274458612,0.879166667,0.879166667,1,0.134103045,7.601566287,7.930569784,true,none
1784909014.993808031,per_message_full_scan,720,720,6.274458647,6.274458612,0.870833333,0.870833333,1,0.134212703,7.611412769,7.602641059,true,none
1784909015.990966082,per_message_full_scan,720,720,6.274458647,6.274458612,0.886111111,0.886111111,1,0.134266883,7.658893463,7.966603352,true,none
1784909016.990954399,per_message_full_scan,720,720,6.274458647,6.274458612,0.887500000,0.887500000,1,0.122062527,7.719513508,7.604895087,true,none
1784909018.307225227,per_message_full_scan,720,720,6.274458647,6.274458612,0.893055556,0.893055556,1,0.121863209,7.752613318,6.820141382,false,STALE_INPUT:none
1784909018.991018295,per_message_full_scan,720,720,6.274458647,6.274458612,0.877777778,0.877777778,1,0.133990422,15.058254042,6.932845867,true,none
1784909019.991001606,per_message_full_scan,720,720,6.274458647,6.274458612,0.883333333,0.883333333,1,0.136393666,8.871562266,7.657569534,true,none
1784909020.992038965,per_message_full_scan,720,720,6.274458647,6.274458612,0.900000000,0.900000000,1,0.123149581,7.915703408,7.997848640,true,none
1784909021.990972519,per_message_full_scan,720,720,6.274458647,6.274458612,0.887500000,0.887500000,1,0.134167984,7.641783903,7.818270078,true,none
1784909022.990960836,per_message_full_scan,720,720,6.274458647,6.274458612,0.890277778,0.890277778,1,0.134107977,7.693463998,7.995678945,true,none
1784909024.000868559,per_message_full_scan,720,720,6.274458647,6.274458612,0.893055556,0.893055556,1,0.121942714,7.714640486,7.842904289,true,none
1784909024.990975380,per_message_full_scan,720,720,6.274458647,6.274458612,0.880555556,0.880555556,1,0.133187488,11.934387778,7.340006985,true,none
1784909025.991240025,per_message_full_scan,720,720,6.274458647,6.274458612,0.891666667,0.891666667,1,0.128936768,8.285754509,7.695565024,true,none
1784909026.998086214,per_message_full_scan,720,720,6.274458647,6.274458612,0.893055556,0.893055556,1,0.121888503,7.867682461,8.008919264,true,none
1784909027.990969658,per_message_full_scan,720,720,6.274458647,6.274458612,0.888888889,0.888888889,1,0.130188927,7.714860251,7.884248686,true,none
1784909028.990969896,per_message_full_scan,720,720,6.274458647,6.274458612,0.884722222,0.884722222,1,0.133025646,7.674729357,7.657313333,true,none
1784909029.990968943,per_message_full_scan,720,720,6.274458647,6.274458612,0.875000000,0.875000000,1,0.134074017,7.587450921,7.591800092,true,none
1784909030.990957499,per_message_full_scan,720,720,6.274458647,6.274458612,0.894444444,0.894444444,1,0.134122699,7.672493740,7.705338804,true,none
1784909031.991028309,per_message_full_scan,720,720,6.274458647,6.274458612,0.906944444,0.906944444,1,0.133984223,7.690358328,8.071486823,true,none
1784909032.990962029,per_message_full_scan,720,720,6.274458647,6.274458612,0.893055556,0.893055556,1,0.121708162,7.752005654,7.635350338,true,none
1784909033.990971804,per_message_full_scan,720,720,6.274458647,6.274458612,0.890277778,0.890277778,1,0.133844212,7.611260971,7.915694446,true,none
1784909035.002006531,per_message_full_scan,720,720,6.274458647,6.274458612,0.898611111,0.898611111,1,0.134137124,7.618255674,7.626397624,true,none
1784909035.990948915,per_message_full_scan,720,720,6.274458647,6.274458612,0.898611111,0.898611111,1,0.132494390,7.684377989,7.865069568,true,none
1784909036.990945578,per_message_full_scan,720,720,6.274458647,6.274458612,0.890277778,0.890277778,1,0.134044364,7.681702332,7.659259270,true,none
1784909037.998433352,per_message_full_scan,720,720,6.274458647,6.274458612,0.898611111,0.898611111,1,0.118898503,7.727714531,7.793138167,true,none
