stamp_sec,stamp_nsec,x,y,z
1784823282,991736372,1.956927,-1.150317,0.870614
1784823285,982932743,1.968536,-1.121809,0.871053
1784823287,281037415,1.974146,-1.090429,0.871579
1784823296,377395149,1.972038,-1.121498,0.870364
1784823297,476655751,1.982818,-1.085477,0.871643
1784823300,966058391,2.011046,-1.059319,0.871613
1784823302,67071766,2.005987,-1.091978,0.870457
1784823303,863177656,2.024151,-1.065871,0.870260
1784823313,353839921,2.020137,-1.095644,0.869979
1784823315,653869938,2.021778,-1.063531,0.870628
1784823318,249078393,2.007633,-1.092137,0.870052
1784823324,841510151,1.985342,-1.119363,0.870287
1784823329,36244821,1.974684,-1.150812,0.870861
1784823331,836344910,2.002813,-1.140318,0.870857
1784823334,334259040,1.980506,-1.113361,0.854641
1784823335,30227158,1.962719,-1.085388,0.855157
1784823335,430450592,1.969277,-1.110398,0.836517
1784823335,731236192,1.978997,-1.125083,0.811949
1784823336,33216625,2.004316,-1.139086,0.783351
1784823336,533227551,1.995674,-1.109079,0.770080
1784823336,732270390,1.977691,-1.080655,0.760425
1784823337,131306864,1.961399,-1.056745,0.739601
1784823337,729376382,1.938450,-1.064409,0.719153
1784823337,928414148,1.909162,-1.077638,0.716139
1784823339,629568924,1.933134,-1.045902,0.689997
1784823340,28628791,1.910787,-1.015542,0.689485
1784823340,328711997,1.870052,-1.001751,0.686586
1784823340,629660623,1.833459,-0.981864,0.694009
1784823340,828492259,1.808007,-0.959277,0.689999
1784823345,827308738,1.637426,-0.840759,0.668580
1784823346,227063700,1.613432,-0.858790,0.666938
1784823346,825104888,1.644731,-0.841038,0.653412
1784823347,227076017,1.642597,-0.871466,0.646251
1784823347,526024509,1.633914,-0.901665,0.641520
1784823348,26082309,1.659988,-0.865475,0.641864
1784823348,322120922,1.657450,-0.820090,0.647921
1784823348,622332973,1.628418,-0.778345,0.660048
1784823349,318229851,1.604388,-0.798368,0.655572
1784823354,713505770,1.578584,-0.848447,0.651107
1784823355,15481559,1.585338,-0.879219,0.636806
1784823355,314516006,1.597741,-0.919447,0.636620
1784823356,312549641,1.631149,-0.892887,0.628953
1784823356,613659141,1.596342,-0.888239,0.632410
1784823356,912601199,1.607186,-0.916834,0.633742
1784823357,113751070,1.625982,-0.954995,0.628083
1784823361,414800605,1.771338,-0.959229,0.691747
1784823361,613706184,1.762056,-0.968553,0.722877
1784823361,814055805,1.733766,-0.963627,0.753012
1784823362,12193539,1.720783,-0.948223,0.778670
1784823362,214609971,1.706801,-0.927814,0.800810
1784823362,517219669,1.689023,-0.905914,0.834145
1784823362,716056007,1.666817,-0.890588,0.854768
1784823363,412128185,1.700930,-0.906201,0.867667
1784823363,812089344,1.728196,-0.928231,0.869820
1784823364,312177935,1.756108,-0.945988,0.870604
1784823369,307486283,1.726621,-0.949754,0.865257
1784823385,390290294,1.707492,-0.929579,0.852093
1784823385,691489475,1.679444,-0.918192,0.836805
1784823385,990570325,1.709911,-0.918119,0.827899
1784823386,292556445,1.738019,-0.902801,0.824337
1784823386,591368607,1.770285,-0.898343,0.816400
1784823386,789591248,1.789028,-0.871287,0.807349
1784823386,990400598,1.794410,-0.839135,0.799218
1784823387,289710731,1.797297,-0.811400,0.782754
1784823387,689635183,1.826556,-0.828372,0.774024
1784823387,890749594,1.850507,-0.848395,0.775383
1784823388,388776915,1.847809,-0.886099,0.770705
1784823388,788465346,1.817900,-0.889449,0.772863
1784823389,388799829,1.800590,-0.864895,0.767934
1784823389,991752152,1.826946,-0.889469,0.760168
1784823396,782395083,1.796725,-0.895882,0.753888
1784823397,179292756,1.773266,-0.873920,0.744764
1784823397,883329072,1.794303,-0.882564,0.722700
1784823399,283324687,1.763633,-0.893595,0.715930
1784823400,982504731,1.750858,-0.864318,0.722736
1784823402,180570686,1.756815,-0.897069,0.767972
1784823402,281693498,1.756248,-0.904456,0.798332
1784823402,482598564,1.749518,-0.899767,0.842457
1784823402,680708713,1.767095,-0.919397,0.860250
1784823402,881763004,1.803526,-0.933826,0.866364
1784823403,281692864,1.825468,-0.964453,0.868541
1784823403,879803321,1.852569,-0.982661,0.869030
1784823405,73832758,1.838294,-0.953289,0.862149
1784823405,473732639,1.853449,-0.937935,0.837309
1784823405,872894675,1.856029,-0.960398,0.812372
1784823406,171837673,1.843655,-0.982991,0.793869
1784823406,571902299,1.829350,-1.005318,0.778022
1784823407,171874366,1.802438,-0.998992,0.760717
1784823407,773076751,1.793806,-0.970237,0.753286
1784823408,273047488,1.782554,-0.937644,0.752275
1784823409,271063451,1.797935,-0.967645,0.735788
1784823409,767876787,1.799578,-0.997432,0.732496
1784823410,168086938,1.784230,-1.033049,0.731697
1784823410,768630262,1.743724,-1.042642,0.752498
1784823410,969225920,1.726496,-1.048186,0.789642
1784823411,168382777,1.729785,-1.032345,0.828624
1784823411,367176962,1.748112,-1.011754,0.858327
1784823411,668265388,1.784290,-0.983581,0.863081
1784823412,171434498,1.808957,-0.959026,0.863585
1784823412,970334689,1.785707,-0.936427,0.859663
1784823413,766560395,1.794134,-0.950241,0.824691
1784823414,566474977,1.786379,-0.912287,0.831567
1784823414,865676524,1.764803,-0.885696,0.836261
1784823415,267517023,1.744980,-0.861979,0.837819
1784823415,970580806,1.770127,-0.844496,0.830214
1784823416,365603325,1.787043,-0.815843,0.822253
1784823418,363697577,1.813018,-0.816552,0.837881
1784823418,964736276,1.836501,-0.789616,0.852734
1784823419,366732319,1.831646,-0.831030,0.873163
1784823419,567570802,1.836896,-0.866428,0.879555
1784823419,765739388,1.841695,-0.897012,0.882653
1784823420,361740026,1.812478,-0.912697,0.882437
1784823420,861614910,1.785948,-0.933586,0.882278
1784823421,62837751,1.750022,-0.932793,0.877258
1784823421,562916195,1.744853,-0.901111,0.859180
1784823421,763915459,1.759933,-0.873346,0.858042
1784823422,62855767,1.777766,-0.835639,0.850628
1784823423,61080089,1.800986,-0.854628,0.837239
1784823424,860301261,1.777428,-0.870348,0.827043
1784823425,556143798,1.809076,-0.846660,0.834387
1784823426,255794677,1.774545,-0.863600,0.825647
1784823426,959320750,1.747994,-0.883613,0.836197
1784823427,753431157,1.742475,-0.903330,0.859798
1784823428,53130945,1.768481,-0.920638,0.865149
1784823438,153130102,1.770479,-0.888971,0.861625
1784823438,551593702,1.766467,-0.932564,0.863921
1784823438,748652411,1.773915,-0.970068,0.863836
