stamp_sec,stamp_nsec,x,y,z
1784822865,285597331,1.451567,-1.790708,0.674665
1784822871,576928187,1.422601,-1.779402,0.674614
1784822872,770926325,1.441478,-1.807289,0.674929
1784822876,972166162,1.438725,-1.776870,0.675549
1784822887,590040941,1.478080,-1.764733,0.674994
1784822888,70897787,1.440857,-1.781588,0.674870
1784822891,65795522,1.462334,-1.803644,0.674704
1784822907,149056596,1.441294,-1.780691,0.674779
1784822928,523777006,1.420776,-1.758571,0.675332
1784822931,419395938,1.440540,-1.783996,0.674829
1784822937,118767057,1.411988,-1.771518,0.674984
1784822940,511943754,1.438057,-1.787336,0.675182
1784822941,811118670,1.457402,-1.813216,0.674680
1784822954,100767622,1.458937,-1.782333,0.674826
1784822962,992820441,1.429590,-1.770458,0.674973
1784822987,773142911,1.425778,-1.739517,0.676785
1784822988,175159174,1.435852,-1.748554,0.818625
1784822988,878062392,1.418309,-1.769691,0.797901
1784822988,979785697,1.397724,-1.785741,0.782277
1784822989,178064409,1.389789,-1.804888,0.751094
1784822989,473567313,1.386415,-1.808882,0.712860
1784822989,770080916,1.407071,-1.808844,0.679105
1784822989,871085231,1.455294,-1.757594,0.674181
1784822990,70150881,1.476157,-1.741484,0.655293
1784822990,369467765,1.481257,-1.734532,0.615867
1784822990,670121556,1.482678,-1.731804,0.574319
1784822990,971237224,1.488760,-1.705752,0.549642
1784822991,372411609,1.505262,-1.680440,0.539167
1784822992,171312283,1.518088,-1.707092,0.521819
1784822992,370803817,1.515818,-1.676079,0.517487
1784822993,70275443,1.517539,-1.717003,0.510263
1784822993,970352260,1.490638,-1.690610,0.496872
1784822994,369389636,1.524732,-1.684824,0.494248
1784822994,769431581,1.552922,-1.706851,0.500156
1784822999,267768328,1.463840,-1.839729,0.568770
1784823001,461886924,1.450925,-1.866368,0.563889
1784823005,558151940,1.459931,-1.834617,0.566630
1784823011,650074433,1.476703,-1.862695,0.559851
1784823015,442483411,1.468100,-1.827538,0.552419
1784823015,742807903,1.512676,-1.822269,0.546442
1784823016,742794682,1.499582,-1.843119,0.564999
1784823016,940735582,1.451924,-1.853710,0.582602
1784823017,239542635,1.495063,-1.842925,0.565050
1784823017,739840121,1.525449,-1.841501,0.563518
1784823018,239866459,1.497038,-1.854970,0.568794
1784823018,340953171,1.463989,-1.881278,0.559002
1784823018,637189566,1.512425,-1.861425,0.544499
1784823018,937004749,1.527841,-1.805063,0.551975
1784823019,336535650,1.489009,-1.807215,0.558525
1784823020,40066704,1.454630,-1.809757,0.555956
1784823020,836419204,1.457063,-1.777471,0.551705
1784823022,40182566,1.478335,-1.766276,0.532902
1784823022,440164768,1.474581,-1.732983,0.529911
1784823022,739291237,1.475994,-1.697493,0.531120
1784823022,937339728,1.471826,-1.673659,0.564537
1784823023,435374169,1.493268,-1.623315,0.569678
1784823023,734214268,1.477958,-1.564152,0.576126
1784823024,234279778,1.448575,-1.547614,0.588742
1784823024,536256534,1.427083,-1.517955,0.589148
1784823029,233575138,1.277722,-1.335283,0.609533
1784823029,735603676,1.247781,-1.294338,0.602006
1784823030,235712857,1.216124,-1.277648,0.603916
1784823087,472285256,1.481994,-1.286801,0.506207
1784823087,976697662,1.523285,-1.331504,0.595241
1784823088,479602441,1.505710,-1.297201,0.752312
1784823088,678458697,1.501704,-1.318867,0.786796
1784823088,877581643,1.491205,-1.333908,0.815107
1784823088,974495420,1.487368,-1.364506,0.829720
1784823089,271202044,1.453648,-1.353236,0.848112
1784823089,570336536,1.422061,-1.371114,0.850900
1784823089,970206658,1.462225,-1.456515,0.977540
1784823090,876461846,1.431578,-1.445570,0.981697
1784823093,371397964,1.450339,-1.500471,0.686179
1784823095,269769667,1.452653,-1.530412,0.686241
1784823097,866854522,1.455479,-1.560314,0.685574
1784823101,56589680,1.460705,-1.587375,0.824231
1784823106,358507980,1.481576,-1.609843,0.823164
1784823112,852867381,1.470516,-1.575515,0.817120
1784823117,945225494,1.501102,-1.567087,0.817724
1784823120,244345387,1.538942,-1.624791,0.651195
1784823121,844471319,1.561455,-1.649735,0.647278
1784823122,443434733,1.529566,-1.620013,0.649256
1784823128,235903839,1.545250,-1.653014,0.647505
1784823129,132709490,1.518230,-1.639106,0.648425
1784823131,229121244,1.525191,-1.608302,0.646073
1784823133,225191685,1.543901,-1.580477,0.646857
1784823133,325205866,1.575484,-1.617080,0.835502
1784823135,826549318,1.553891,-1.598449,0.845042
1784823139,226657088,1.582913,-1.610763,0.837364
1784823140,628764971,1.561255,-1.636098,0.836645
1784823149,714423421,1.562613,-1.606756,0.829961
1784823150,116430231,1.569145,-1.580656,0.671252
1784823154,411580375,1.596834,-1.571988,0.663574
1784823154,911592074,1.606934,-1.552540,0.826437
1784823156,14690484,1.625834,-1.570299,0.845566
1784823157,708584698,1.648561,-1.590603,0.844508
1784823159,204026496,1.643279,-1.561051,0.844499
1784823160,908286538,1.676278,-1.548593,0.848777
1784823161,307998703,1.687230,-1.540252,0.644775
1784823163,399673651,1.653431,-1.541137,0.643119
1784823166,397426674,1.654772,-1.572584,0.648039
1784823170,393435799,1.659779,-1.542024,0.646222
1784823182,92253622,1.682090,-1.521386,0.648334
