stamp_sec,stamp_nsec,x,y,z
1785061935,435574615,1.590573,0.844316,0.898254
1785062000,256770097,1.563292,0.829627,0.880687
1785062000,555632165,1.526525,0.835954,0.827033
1785062000,754624696,1.519764,0.844573,0.778848
1785062057,907734172,1.611820,0.669262,0.780195
1785062058,105943987,1.592935,0.662739,0.823415
1785062058,303899335,1.565160,0.657252,0.846413
1785062058,502820261,1.537183,0.641626,0.848265
1785062059,2864970,1.510687,0.662196,0.888878
1785062059,103890576,1.508063,0.690324,0.904269
1785062059,301901993,1.536786,0.711698,0.918407
1785062059,801880262,1.556343,0.747304,0.927675
1785062060,702004070,1.569231,0.764108,0.905363
1785062086,175522225,1.579384,0.780134,0.933521
1785062086,575580103,1.582032,0.776793,0.890281
1785062087,274306255,1.570526,0.779516,0.919682
1785062088,173390569,1.574149,0.758855,0.894188
1785062088,673368956,1.556050,0.768505,0.931263
1785062090,470536629,1.560643,0.777226,0.890548
1785062092,272671488,1.552836,0.766223,0.854401
1785062093,169685447,1.551133,0.737634,0.831607
1785062095,368933975,1.534348,0.762742,0.831590
1785062097,663193086,1.522638,0.815728,0.830509
1785062097,963001462,1.513504,0.868537,0.829760
1785062104,162288751,1.537527,0.912139,0.827196
1785062104,959385199,1.531383,0.962699,0.821890
1785062110,153570549,1.549652,0.937182,0.833010
1785062110,956209616,1.598045,0.944277,0.818327
1785062113,250841003,1.581260,0.918182,0.823612
1785062116,548072481,1.599850,0.944978,0.823587
1785062117,145412360,1.622375,0.924253,0.819127
1785062120,43130659,1.652742,0.912653,0.813049
1785062123,340443775,1.653202,0.932848,0.788642
1785062124,338332649,1.630625,0.950251,0.803240
1785062125,240562847,1.651467,0.977553,0.774031
1785062128,339898512,1.627221,0.962356,0.786208
1785062137,529250917,1.597451,0.956484,0.785561
1785062138,530428813,1.569070,0.958147,0.822539
1785062138,830073985,1.549135,0.962319,0.862301
1785062139,127384462,1.543734,0.979244,0.888661
1785062139,428167612,1.505112,0.989575,0.900684
1785062143,524457415,1.535075,0.983359,0.900534
1785062144,722438563,1.548387,1.013325,0.900071
1785062146,421661313,1.557768,1.042515,0.900998
