stamp_sec,stamp_nsec,x,y,z
1784909183,917401345,0.247729,1.157653,0.903940
1784909243,655334534,0.222080,1.136827,0.909044
1784909261,43369263,0.207266,1.104007,0.898586
1784909261,339255140,0.216116,1.102220,0.867764
1784909261,440081565,0.219311,1.131310,0.858182
1784909261,738273970,0.231426,1.137808,0.812901
1784909261,941936717,0.233036,1.122214,0.783813
1784909276,927837145,0.232830,1.125752,0.820606
1784909277,129016162,0.232186,1.127725,0.856944
1784909277,326641293,0.194371,1.128945,0.884187
1784909277,625850288,0.161528,1.124221,0.907216
1784909315,489997925,0.134503,1.101151,0.891789
1784909315,587922276,0.113055,1.082851,0.876223
1784909315,688836638,0.098180,1.060819,0.841130
1784909315,785967614,0.102868,1.067448,0.809684
1784909315,886863532,0.112724,1.085904,0.779146
1784909374,333938119,0.581421,1.171636,0.830944
1784909374,431947848,0.589123,1.164242,0.869673
1784909374,633245952,0.601900,1.164774,0.900647
1784909374,931903860,0.657869,1.269572,0.903311
1784909375,328943999,0.671837,1.296523,0.901280
1784909376,131851570,0.654862,1.329366,0.908433
1784909418,93041374,0.660257,1.205105,0.900774
1784909423,185826929,0.651785,1.236073,0.900620
1784909429,279507626,0.633620,1.253736,0.882743
1784909430,978647191,0.631289,1.283131,0.877154
1784909434,572855259,0.663256,1.286607,0.887071
1784909436,972067834,0.642137,1.292493,0.865096
1784909437,372042884,0.620306,1.301673,0.843271
1784909437,473009720,0.617816,1.252364,0.839119
1784909438,969995997,0.628877,1.247615,0.808092
1784909439,671303489,0.589135,1.264079,0.793480
1784909440,171593771,0.562251,1.284956,0.784355
1784909444,366288676,0.544716,1.206449,0.781334
1784909448,962499743,0.520529,1.237135,0.785085
1784909453,257716863,0.543204,1.217277,0.790719
1784909456,456815153,0.535415,1.187760,0.792386
1784909458,253999113,0.547521,1.219645,0.817504
1784909458,653488001,0.549818,1.234208,0.853067
1784909458,955032579,0.547858,1.232383,0.884704
1784909459,256814955,0.522425,1.238305,0.903143
1784909459,553000813,0.488055,1.208868,0.903337
1784909464,147309631,0.511355,1.188351,0.896062
1784909465,547295997,0.532858,1.211938,0.895429
1784909466,243371970,0.456644,1.242337,0.895145
1784909467,42456222,0.425392,1.243125,0.894466
1784909471,142418496,0.439648,1.270699,0.895533
1784909475,436835598,0.450635,1.300583,0.901946
1784909481,432936794,0.427064,1.282726,0.894729
1784909482,31324664,0.406143,1.259244,0.889463
1784909482,730415137,0.416250,1.232536,0.877134
1784909484,431466241,0.446736,1.223852,0.869552
1784909485,630609336,0.481709,1.225167,0.872582
1784909487,125374704,0.510848,1.235770,0.872305
1784909489,427438198,0.529474,1.263990,0.870517
1784909490,327498493,0.520773,1.293212,0.866172
1784909492,222548715,0.498251,1.308639,0.883370
1784909492,722690809,0.501712,1.297597,0.911810
1784909493,27055529,0.488851,1.269556,0.908038
1784909496,323797788,0.486967,1.305500,0.907031
1784909496,823895483,0.470300,1.279791,0.903268
1784909498,620984211,0.465926,1.250049,0.906151
1784909503,415239088,0.448110,1.223576,0.901534
1784909505,615453550,0.478891,1.212470,0.900474
1784909505,715406493,0.571252,1.229127,0.900763
1784909507,713413774,0.544918,1.207122,0.909115
1784909510,208490890,0.575395,1.204895,0.901329
1784909511,309671698,0.605578,1.194883,0.895755
1784909512,108648635,0.616464,1.166265,0.893134
1784909512,908654057,0.593289,1.183946,0.875538
1784909514,903706345,0.595706,1.216454,0.877139
1784909515,599745717,0.581467,1.249836,0.878215
1784909516,602864252,0.572763,1.221941,0.892877
1784909517,2154655,0.554067,1.196339,0.897721
1784909519,695980846,0.572744,1.218851,0.889508
1784909520,697048361,0.593390,1.194114,0.891292
