stamp_sec,stamp_nsec,x,y,z
1785071885,394728773,0.135679,0.160279,0.890696
1785071885,796526869,0.133698,0.191561,0.896053
1785071888,490573932,0.152033,0.170327,0.885170
1785071889,787532540,0.146124,0.139346,0.876833
1785071891,793319585,0.160034,0.117929,0.895167
1785071908,70270467,0.144779,0.143641,0.886913
1785071914,866337073,0.108913,0.138837,0.892221
1785071918,764414515,0.134340,0.154445,0.884683
1785071920,459736129,0.135802,0.124140,0.884777
1785071925,955444415,0.125954,0.091349,0.890202
1785071926,453022127,0.129782,0.051615,0.885243
1785071928,453177051,0.122261,0.084500,0.882136
1785071935,243314457,0.122565,0.052582,0.895644
1785071937,439004628,0.130029,0.025544,0.881785
1785071938,945205835,0.130072,0.054256,0.892498
1785071943,936140024,0.126213,0.085135,0.889351
1785071948,329147807,0.144109,0.120110,0.894867
1785071952,529192692,0.142159,0.150802,0.893275
1785071953,128514232,0.145589,0.121213,0.889527
1785071957,323642698,0.153034,0.166022,0.875314
1785071957,622711573,0.159979,0.204404,0.880493
1785071959,522955195,0.156265,0.176322,0.894468
1785071961,821627644,0.150483,0.148431,0.882928
1785071968,316096337,0.145713,0.116956,0.887133
1785071969,615336564,0.136815,0.150986,0.895947
1785071974,807112412,0.145135,0.124612,0.881779
1785071998,377880153,0.161490,0.099300,0.887522
1785072000,974171480,0.147985,0.126006,0.875712
1785072011,770232650,0.151502,0.095497,0.874501
1785072013,366300330,0.146010,0.127830,0.885258
1785072031,346923775,0.166335,0.096759,0.886860
1785072040,837052404,0.152953,0.122657,0.878556
1785072227,50421432,0.150205,0.155296,0.878711
1785072232,443635156,0.181100,0.147766,0.881069
1785072234,543700684,0.154672,0.164947,0.886546
1785072237,838758526,0.150901,0.133628,0.886186
1785072239,640873158,0.139947,0.165547,0.897099
1785072240,342169647,0.153002,0.132993,0.900173
1785072242,136149464,0.155019,0.098512,0.906027
1785072244,430502706,0.178519,0.109262,0.924448
1785072247,529768327,0.156420,0.088270,0.925996
1785072251,426383351,0.137058,0.062666,0.929213
1785072256,20713421,0.136936,0.026053,0.913149
1785072261,916953830,0.132308,0.009802,0.939416
1785072268,509824346,0.135468,-0.017890,0.953213
1785072270,406977939,0.162145,-0.001399,0.952930
1785072272,805410746,0.168796,-0.032719,0.948893
1785072274,705652268,0.168911,-0.041235,0.916143
1785072276,105562791,0.185408,-0.050488,0.892853
1785072279,800443419,0.155000,-0.048973,0.881599
1785072283,196224014,0.124246,-0.050175,0.885154
1785072290,589943206,0.095587,-0.059423,0.882730
1785072294,289529732,0.062260,-0.060190,0.874299
1785072798,123966420,0.085203,-0.040686,0.875525
