stamp_sec,stamp_nsec,x,y,z
1785074043,821934484,-0.070519,0.086158,0.842014
1785074095,665187419,-0.070761,0.086320,0.793514
1785074097,365266679,-0.085892,0.069080,0.830976
1785074097,563345042,-0.084958,0.071849,0.794634
1785074098,63249535,-0.061896,0.071963,0.744569
1785074098,362343371,-0.065873,0.079743,0.690107
1785074098,664362074,-0.076257,0.080009,0.632522
1785074099,66360215,-0.062744,0.061539,0.580298
1785074099,466354097,-0.084972,0.044069,0.532211
1785074099,765350413,-0.082217,0.028329,0.500811
1785074100,64304821,-0.081794,0.025357,0.468847
1785074100,564851618,-0.080311,0.032551,0.428647
1785074100,963351444,-0.054196,0.033597,0.412550
1785074101,763674345,-0.062389,0.015041,0.385275
1785074102,859172631,-0.049557,0.027228,0.359628
1785074103,562487768,-0.026541,-0.009106,0.362613
1785074104,263527535,-0.005094,-0.025588,0.339519
1785074105,157707621,-0.035963,-0.032032,0.351816
1785074105,759431353,-0.032512,-0.063867,0.365651
1785074106,457478761,-0.008806,-0.078022,0.349189
1785074107,253705324,-0.024563,-0.082068,0.380850
1785074108,153736625,-0.029003,-0.102455,0.346662
1785074108,354721617,-0.032595,-0.095310,0.315542
1785074108,653816155,-0.061383,-0.102046,0.305279
1785074109,255256041,-0.073544,-0.120890,0.355226
1785074109,355263176,-0.080776,-0.139455,0.381060
1785074109,556120186,-0.048994,-0.131966,0.352750
1785074109,754788902,-0.069264,-0.102014,0.369609
1785074110,152341630,-0.030750,-0.094268,0.310845
1785074110,750115698,-0.073442,-0.090867,0.318763
1785074111,50126083,-0.104925,-0.087422,0.342222
1785074111,650249811,-0.111892,-0.104166,0.371493
1785074112,450308119,-0.163946,-0.079988,0.381947
1785074112,749386224,-0.141919,-0.068406,0.343486
1785074113,50641954,-0.120583,-0.056948,0.309452
1785074114,49114910,-0.127787,-0.089253,0.295781
1785074114,346230698,-0.114993,-0.039973,0.302331
1785074116,249350115,-0.104522,-0.008368,0.309688
1785074116,447450748,-0.086374,0.028564,0.319949
1785074118,48693105,-0.068719,0.045105,0.341015
1785074118,842553239,-0.055523,0.016918,0.345566
1785074121,742437192,-0.051294,0.040091,0.326579
1785074122,340517678,-0.068744,0.065728,0.341619
1785074122,840723514,-0.055381,0.093117,0.324963
1785074123,140475153,-0.016774,0.074571,0.320614
1785074123,841546459,-0.030498,0.042322,0.319076
1785074124,436343959,0.006155,0.065074,0.309020
1785074125,37555431,0.028115,0.096779,0.337930
1785074125,336604010,0.038163,0.128486,0.354333
1785074125,836611226,0.062842,0.144928,0.340273
1785074126,439682041,0.092723,0.123476,0.341326
1785074127,236700480,0.130708,0.129093,0.334286
1785074127,733733341,0.142011,0.196047,0.347991
1785074127,834771315,0.157756,0.222849,0.350957
1785074127,934770568,0.179580,0.246699,0.350407
1785074128,35727671,0.200654,0.278458,0.352436
1785074128,236726304,0.232453,0.296461,0.341108
1785074128,535715600,0.265347,0.297123,0.345640
1785074128,834826913,0.290986,0.286498,0.361017
1785074129,234801310,0.327807,0.283969,0.364574
1785074129,636777796,0.367262,0.334351,0.358526
1785074129,935813608,0.390724,0.362267,0.359797
1785074130,136952479,0.421096,0.373405,0.362281
1785074130,533818062,0.451781,0.395801,0.358320
1785074130,930977440,0.493846,0.410086,0.362951
1785074131,231281136,0.535505,0.419796,0.360289
1785074131,730387926,0.566031,0.436104,0.359646
1785074132,232027730,0.568252,0.478518,0.363818
1785074132,531742313,0.610617,0.476928,0.363388
1785074132,931453331,0.620084,0.449352,0.405980
1785074133,32928079,0.637173,0.463185,0.368887
1785074133,130560776,0.661009,0.483525,0.376662
1785074133,331039459,0.700960,0.482560,0.374982
1785074133,929061679,0.733224,0.511683,0.369046
1785074134,428964811,0.741800,0.546027,0.352410
1785074134,926999074,0.771536,0.570735,0.352530
1785074135,327660306,0.810938,0.581651,0.353394
1785074135,726083115,0.856113,0.571391,0.343812
1785074136,25054249,0.889827,0.582741,0.337249
1785074136,424085906,0.911845,0.550572,0.361834
1785074136,824066524,0.963133,0.565952,0.363233
1785074137,123644729,1.009955,0.540622,0.369205
1785074137,721141675,1.021968,0.583231,0.377848
1785074138,20131639,1.026373,0.615287,0.158586
1785074138,915208045,1.043703,0.587851,0.166719
1785074139,116237331,1.074993,0.609107,0.154553
1785074139,315245101,1.127208,0.616484,0.150910
1785074139,415944827,1.145884,0.619226,-0.533987
1785074139,616128224,1.173712,0.633734,-0.535307
1785074139,717305783,1.182620,0.649613,0.143485
1785074140,418263330,1.212572,0.639203,0.143065
1785074140,818303772,1.243500,0.641493,0.143872
1785074141,16272227,1.284783,0.660403,0.151514
1785074141,214212570,1.328829,0.663902,0.146612
1785074142,117352521,1.351465,0.633995,0.142011
1785074142,519417029,1.381955,0.623451,0.139013
1785074142,818432705,1.428316,0.614983,0.136025
1785074143,19745524,1.457841,0.605263,0.123712
1785074143,220686730,1.462996,0.611299,-0.526034
1785074143,918479415,1.448958,0.595519,0.149842
1785074144,318680884,1.465153,0.602867,0.124969
1785074144,717487355,1.509693,0.602193,0.116174
1785074145,715615720,1.494206,0.589097,0.152278
1785074146,115757741,1.527095,0.616480,0.153036
1785074146,313658652,1.557481,0.620568,0.150548
1785074146,515817927,1.589943,0.626430,0.151824
1785074147,20571255,1.623232,0.602162,0.138531
1785074148,17600756,1.661428,0.598984,0.118230
1785074148,216664681,1.712024,0.583821,0.111868
1785074148,613825626,1.767520,0.572308,0.106391
1785074148,817160675,1.802754,0.568780,0.100367
1785074149,12639068,1.839300,0.561643,0.092061
1785074149,414769448,1.873216,0.539202,0.086271
1785074149,913032053,1.921672,0.527133,0.088512
1785074150,214763063,1.974560,0.532366,0.155889
1785074150,813487885,1.951443,0.522059,0.135717
1785074151,614684899,1.982905,0.507905,0.118251
1785074151,913740170,2.017263,0.516205,0.119906
1785074152,510961376,2.056094,0.496190,0.113745
1785074153,210713500,2.088195,0.506132,0.115579
1785074153,807949424,2.118219,0.494664,0.119174
1785074154,408942359,2.161369,0.479711,0.121487
1785074154,810798800,2.197841,0.452952,0.121521
1785074155,811103674,2.182520,0.448658,0.205172
1785074156,510167284,2.208355,0.437599,0.224253
1785074156,809112972,2.232846,0.421991,0.232481
1785074157,208212708,2.253397,0.410109,0.111400
1785074157,709083544,2.268809,0.384574,0.108058
1785074158,804285605,2.252732,0.357029,0.116951
1785074159,204167780,2.295378,0.352564,0.123081
1785074159,606694116,2.321280,0.333399,0.118835
1785074160,606448498,2.290150,0.323410,0.106647
1785074162,601426957,2.302503,0.293120,0.103249
