stamp_sec,stamp_nsec,x,y,z
1784797979,587310412,0.038396,0.033030,0.881411
1784797999,461492030,0.057835,-0.003667,0.890468
1784798047,14345015,0.036234,-0.012439,1.089932
1784798052,409602141,0.004400,0.155528,1.149884
1784798055,706775539,-0.028714,0.180153,1.213898
1784798063,98107139,0.010892,0.285788,1.578813
1784798064,96229764,0.034837,0.305945,1.615769
1784798072,88482214,-0.072621,0.420212,1.910460
1784798072,688686882,-0.154041,0.381295,1.916465
1784798088,72411763,-0.325830,0.387013,1.521755
1784798101,563086597,-0.373659,0.367848,1.469765
1784798102,261144854,-0.374302,0.389266,1.493549
1784798104,658998172,-0.419270,0.429380,1.484094
1784798105,857371308,-0.382004,0.445123,1.469932
1784798106,454395031,-0.404826,0.462420,1.484197
1784798106,854375541,-0.404260,0.444036,1.509348
1784798110,52539809,-0.438035,0.482650,1.419335
1784798110,552374910,-0.482172,0.458902,1.420193
1784798113,349316471,-0.661164,0.520619,2.085379
1784798114,150395401,-0.687047,0.479446,2.034826
1784798115,945416636,-0.602573,0.526899,1.919002
1784798116,749328107,-0.592319,0.473296,1.920342
1784798117,48088818,-0.552903,0.474936,1.921438
1784798117,445498862,-0.510128,0.497978,1.939505
1784798118,43272428,-0.492038,0.504452,1.969115
1784798118,546320223,-0.494829,0.539671,1.977449
1784798122,441420276,-0.639373,0.386257,1.904867
1784798123,36232413,-0.663780,0.401005,1.892828
1784798123,338355560,-0.691696,0.419973,1.893345
1784798124,140344365,-0.746514,0.412362,1.895063
1784798129,337217009,-0.696809,0.582859,1.945508
1784798129,736357147,-0.727789,0.585159,1.955243
1784798130,334494009,-0.740873,0.614285,1.949812
1784798130,732154135,-0.718091,0.636292,1.941811
1784798131,29949671,-0.691060,0.657796,1.933727
1784798131,630931868,-0.663787,0.638529,1.924283
1784798132,131195942,-0.642005,0.612816,1.914092
1784798133,629182586,-0.660479,0.641266,1.892317
1784798133,828243326,-0.670537,0.657453,1.867351
1784798133,928248173,-0.676688,0.658977,1.831764
1784798134,29180216,-0.685702,0.667661,1.783081
1784798134,127871489,-0.689642,0.673113,1.730148
1784798134,227264561,-0.699020,0.678150,1.676115
1784798134,328230762,-0.708696,0.680463,1.623910
1784798134,428238546,-0.718221,0.684268,1.574372
1784798134,529307483,-0.725354,0.693845,1.527532
1784798134,630234446,-0.733983,0.704087,1.484368
1784798134,730195658,-0.743788,0.710173,1.445971
1784798134,831284390,-0.744527,0.720592,1.414860
1784798135,32165326,-0.755372,0.727859,1.371403
1784798135,730197146,-0.778528,0.752595,1.365880
1784798137,225293819,-0.914878,0.907023,1.442197
1784798137,527236016,-0.929984,0.902026,1.477259
1784798137,826239311,-0.937564,0.906531,1.511453
1784798138,125232925,-0.946388,0.907285,1.541774
1784798138,424393604,-0.963220,0.928464,1.557780
1784798138,623259533,-0.977803,0.961333,1.566082
1784798138,824120446,-1.013909,0.994682,1.571057
1784798139,22260143,-1.045177,1.030812,1.572439
1784798139,221754314,-1.077683,1.065465,1.569540
1784798139,422417749,-1.108377,1.080044,1.566791
1784798139,821536161,-1.141700,1.091273,1.567233
1784798140,422679646,-1.149073,1.061556,1.553331
1784798141,221593148,-1.166620,1.076450,1.495646
1784798141,422922147,-1.175042,1.078166,1.465293
1784798141,721375549,-1.205225,1.087323,1.441077
1784798142,23245890,-1.237536,1.119167,1.456746
1784798142,322243944,-1.253468,1.160287,1.484698
1784798142,520204150,-1.252458,1.195893,1.497884
1784798143,18245041,-1.280484,1.159676,1.525655
1784798143,219275639,-1.312389,1.175939,1.530506
1784798143,420243721,-1.339978,1.211112,1.535749
1784798144,219201549,-1.338451,1.182586,1.546604
1784798144,418204939,-1.312872,1.154215,1.579594
1784798144,518158893,-1.299835,1.146010,1.615051
1784798156,609405597,-1.532337,1.132966,1.901178
1784798157,106399065,-1.510174,1.092339,1.874077
1784798160,401464384,-1.534386,1.429530,1.926902
1784798170,388396458,-1.659310,1.149643,1.427237
1784798193,371444650,-1.542977,0.849733,0.885458
1784798227,34041220,-1.579150,0.868294,0.886496
