stamp_sec,stamp_nsec,x,y,z
1785073074,42378183,0.071622,-0.047837,0.891079
1785073090,224872826,0.085989,0.000945,0.892997
1785073090,825815897,0.076440,-0.040407,0.891470
1785073243,672018239,0.069793,-0.068269,0.878151
1785073243,870890745,0.037050,-0.119355,0.854457
1785073243,971154651,0.020243,-0.146635,0.832970
1785073244,169808026,0.049451,-0.157037,0.817223
1785073244,269597119,0.064073,-0.150891,0.789654
1785073244,465767024,0.047938,-0.163815,0.749959
1785073244,566970610,0.060335,-0.158982,0.716998
1785073244,666834091,0.077217,-0.137079,0.690859
1785073244,865901020,0.072342,-0.126228,0.657329
1785073244,966775478,0.065690,-0.111641,0.627730
1785073245,269257591,0.078171,-0.068745,0.584280
1785073245,467240394,0.078345,-0.045641,0.559031
1785073245,868888583,0.071517,-0.017240,0.531450
1785073246,168226265,0.056943,-0.022594,0.486544
1785073246,369335551,0.043023,-0.049825,0.462533
1785073246,565185509,0.047255,-0.027028,0.442975
1785073246,863877230,0.024679,-0.040966,0.399258
1785073247,261053509,0.010742,-0.062368,0.364663
1785073249,462433152,0.030706,-0.087025,0.354000
1785073250,161014214,0.050505,-0.041219,0.344696
1785073250,360190317,0.005761,-0.065475,0.356830
1785073250,560024435,0.008030,-0.084331,0.329929
1785073250,760355033,0.026936,-0.105326,0.300292
1785073250,960064022,0.019680,-0.155431,0.285204
1785073251,463021567,0.000303,-0.189193,0.275852
1785073251,963120903,0.007491,-0.150797,0.272474
1785073252,164141235,-0.015519,-0.171993,0.270570
1785073253,863138196,-0.029077,-0.199495,0.274337
1785073253,963241594,-0.041099,-0.225279,0.287430
1785073254,262237664,-0.073653,-0.251025,0.279207
1785073254,559240020,-0.042374,-0.234900,0.294042
1785073255,157264658,-0.044907,-0.266922,0.289660
1785073255,755238643,-0.075022,-0.284564,0.282991
1785073258,54477814,-0.050476,-0.292066,0.264574
1785073261,550302984,-0.079508,-0.299826,0.268767
1785073262,450150290,-0.103856,-0.325071,0.275458
1785073262,848814807,-0.129999,-0.340777,0.276064
1785073264,947106681,-0.105411,-0.307414,0.286754
1785073265,751663569,-0.122801,-0.281490,0.279482
1785073266,250767914,-0.155180,-0.268106,0.278591
1785073266,750887329,-0.191982,-0.259781,0.285708
1785073267,250496436,-0.231149,-0.258032,0.291099
1785073268,46935528,-0.264817,-0.264998,0.275798
1785073268,548729367,-0.300842,-0.265225,0.284475
1785073268,948261510,-0.331433,-0.250347,0.296955
1785073269,351435244,-0.359508,-0.229792,0.306718
1785073269,749411982,-0.382069,-0.206421,0.303538
1785073270,346942549,-0.419092,-0.196652,0.309793
1785073271,342455820,-0.446481,-0.180473,0.312432
1785073272,750008010,-0.420085,-0.166853,0.306597
1785073273,242584876,-0.376893,-0.175864,0.316872
1785073273,641281995,-0.344254,-0.180971,0.316562
1785073274,139255917,-0.303855,-0.196348,0.312060
1785073274,438341011,-0.268674,-0.209163,0.303033
1785073274,737821943,-0.223570,-0.243405,0.298980
1785073275,39325400,-0.190937,-0.261256,0.298057
1785073275,441444888,-0.168057,-0.289416,0.289454
1785073276,137634058,-0.132170,-0.292029,0.284653
1785073276,637450957,-0.090025,-0.274698,0.279116
1785073277,442025005,-0.057081,-0.264956,0.280295
1785073278,140652751,-0.023774,-0.272236,0.289496
1785073279,136909786,0.006089,-0.275027,0.284733
1785073280,35950641,-0.012713,-0.249545,0.281196
1785073281,638752116,-0.040764,-0.234216,0.282956
1785073282,138824022,-0.077089,-0.225037,0.280993
1785073282,337799045,-0.105478,-0.220517,0.289573
1785073282,538773147,-0.137851,-0.208080,0.296857
1785073282,837955347,-0.175082,-0.193258,0.295823
1785073283,35928689,-0.182911,-0.169067,0.279305
1785073283,334610317,-0.219774,-0.149495,0.272098
1785073283,734914432,-0.247485,-0.123108,0.257623
1785073284,33804691,-0.277885,-0.118679,0.256646
1785073284,631751934,-0.256752,-0.141129,0.266773
1785073285,31926942,-0.231770,-0.150610,0.251477
1785073285,635677977,-0.246366,-0.124661,0.257365
1785073286,135464258,-0.214854,-0.137675,0.248368
1785073286,934053847,-0.200305,-0.115460,0.226433
1785073287,132380127,-0.170796,-0.101999,0.200268
1785073287,532163498,-0.156729,-0.076367,0.180846
1785073288,427261310,-0.162561,-0.111004,0.182161
1785073289,432352408,-0.158605,-0.143123,0.168654
1785073289,731232534,-0.149814,-0.174835,0.168930
1785073290,229272575,-0.185193,-0.119553,0.172133
1785073290,430122938,-0.199782,-0.090312,0.177789
1785073290,829312929,-0.209046,-0.087169,0.211048
1785073291,128322617,-0.221663,-0.069121,0.245746
1785073292,28400107,-0.242550,-0.084556,0.262109
1785073292,629932846,-0.218125,-0.065398,0.238274
1785073293,29224867,-0.207551,-0.078699,0.210849
1785073294,23483884,-0.232936,-0.081632,0.235148
1785073295,725412348,-0.199673,-0.086401,0.236379
1785073295,924854050,-0.177029,-0.073510,0.200220
1785073296,122469466,-0.163277,-0.065442,0.171201
1785073296,622717761,-0.171291,-0.080509,0.212397
1785073296,723604900,-0.175466,-0.082844,0.244223
1785073297,21717744,-0.171261,-0.062771,0.295303
1785073297,222708581,-0.168372,-0.027536,0.302781
1785073297,921681890,-0.168404,-0.051579,0.341334
1785073298,223712543,-0.180502,-0.021231,0.355373
1785073298,421702763,-0.197052,-0.019496,0.429867
1785073298,522758768,-0.215199,-0.037350,0.451155
