stamp_sec,stamp_nsec,x,y,z
1785680767,92647329,0.119235,0.112055,2.536822
1785680768,979115939,0.104804,0.138496,2.536530
1785680769,780681383,0.106343,0.105358,2.538190
1785680775,772533695,0.112555,0.141066,2.538809
1785680777,378132453,0.130874,0.100225,2.538299
1785680785,158489708,0.105566,0.138995,2.537276
1785680791,859082685,0.120781,0.100040,2.538450
1785680795,950684072,0.137462,0.069191,2.539061
1785680797,453758330,0.130407,0.102453,2.537113
1785680803,444775363,0.131774,0.072327,2.536708
1785680812,141358469,0.130892,0.103550,2.536539
1785680814,536242579,0.130987,0.071737,2.537320
1785680815,133531449,0.139961,0.112900,2.536518
1785680820,725540649,0.136793,0.078531,2.538038
1785680825,128856499,0.133416,0.108438,2.536800
1785680827,218896534,0.132423,0.145675,2.535996
1785680828,227523460,0.141783,0.112473,2.537333
1785680830,817953625,0.125222,0.139859,2.537017
1785680843,903029284,0.143063,0.164231,2.537010
1785680844,999881079,0.123916,0.138892,2.538043
1785680854,894320314,0.145734,0.115231,2.537001
1785680859,189669663,0.133436,0.085970,2.539201
1785680870,579033212,0.138242,0.119769,2.536167
1785680870,980972731,0.145298,0.152001,2.538719
1785680871,383484360,0.145823,0.182519,2.538372
1785680872,481645211,0.147132,0.150141,2.539054
1785680879,76432874,0.154614,0.121070,2.539066
1785680888,565430702,0.127048,0.135189,2.537453
1785680890,858210089,0.144176,0.105730,2.537044
1785680892,853013699,0.151733,0.136048,2.536198
1785680896,856247104,0.149799,0.103335,2.536552
1785680901,446135009,0.140560,0.144238,2.532117
1785680901,848478027,0.148578,0.152210,2.493586
1785680902,48273268,0.128858,0.149340,2.562760
1785680902,150345656,0.119077,0.169209,2.661533
1785680902,251189471,0.122276,0.179066,2.623566
1785680902,347507990,0.122219,0.174318,2.558113
1785680902,448467008,0.122831,0.168549,2.480301
1785680902,546443934,0.127994,0.168052,2.440944
1785680902,646651193,0.123845,0.166301,2.400989
1785680902,745587267,0.115775,0.160298,2.340582
1785680902,845455915,0.110884,0.153034,2.267587
1785680903,144582693,0.119251,0.143337,2.205576
1785680903,745741118,0.104489,0.177101,2.255672
1785680903,845627785,0.089837,0.185039,2.229379
1785680904,46578692,0.031570,0.183365,2.238362
1785680904,147615748,0.009367,0.187759,2.211874
1785680904,247378655,-0.005387,0.178037,2.140383
1785680904,356569100,-0.035457,0.159454,2.120544
1785680904,550118562,-0.085758,0.141620,2.062882
1785680904,651522766,-0.094918,0.135973,2.030133
1785680904,751631599,-0.085330,0.128383,2.071491
1785680904,850813507,-0.072448,0.122834,2.043480
1785680905,152897451,-0.100820,0.103499,2.262039
1785680905,252217747,-0.091890,0.074678,2.284298
1785680905,350925895,-0.076873,0.056394,2.309064
1785680905,451971025,-0.069876,0.059955,2.339640
1785680905,550002747,-0.058088,0.076668,2.304478
1785680905,848645450,-0.077872,0.099689,2.281030
1785680905,946707784,-0.086416,0.105171,2.251297
1785680906,44544302,-0.098389,0.115476,2.184449
1785680906,242761172,-0.107087,0.112081,2.281863
1785680906,340545006,-0.105038,0.088446,2.313132
1785680906,640899783,-0.103920,0.088228,2.384207
1785680906,944989950,-0.105759,0.086703,2.247217
1785680907,147788450,-0.102090,0.095039,2.307013
1785680907,348866838,-0.110986,0.084627,2.274161
1785680908,50519060,-0.124561,0.077247,2.301140
1785680908,944775875,-0.138393,0.063864,2.265736
1785680909,644025393,-0.144122,0.055711,2.234862
1785680912,245057984,-0.123558,0.079573,2.241670
1785680913,335321539,-0.122494,0.100432,2.338738
1785680914,847663686,-0.150304,0.082522,2.287113
1785680915,45038241,-0.170842,0.091196,2.261282
1785680915,240052926,-0.191608,0.091535,2.229916
1785680915,338020778,-0.199866,0.094572,2.185986
1785680915,436103778,-0.208138,0.092881,2.156248
1785680915,736105593,-0.222401,0.043160,2.203624
1785680915,937204870,-0.220830,0.024794,2.160900
1785680916,236031426,-0.222222,0.021496,2.129308
1785680916,336207685,-0.236872,0.023348,2.073587
1785680916,437107963,-0.241792,0.034676,2.032763
1785680916,537199759,-0.249939,0.040336,1.986513
1785680917,40156092,-0.247892,0.043398,2.018799
1785680917,439339518,-0.251406,0.026910,1.977778
1785680918,937968776,-0.232732,0.051211,1.986216
1785680919,535298757,-0.229043,0.085701,1.984064
1785680920,138357535,-0.235314,0.123061,1.989799
1785680920,734290442,-0.237658,0.161830,1.990023
1785680921,433728404,-0.250550,0.179698,2.046480
1785680921,832369904,-0.253080,0.195195,1.990435
1785680922,232522904,-0.240103,0.194787,2.046735
1785680922,433072904,-0.244996,0.173473,1.998993
1785680922,831316329,-0.226138,0.236784,1.988973
1785680923,433644699,-0.238803,0.198373,1.988150
1785680923,635181681,-0.260846,0.198016,2.040829
1785680923,834334514,-0.274997,0.182143,2.063326
1785680924,130084828,-0.274798,0.206855,2.003376
1785680924,230854477,-0.284995,0.208004,2.062294
1785680924,332315939,-0.303167,0.206263,2.087999
1785680924,428527736,-0.318046,0.206200,2.138939
1785680924,530725236,-0.340856,0.212323,2.176571
1785680924,727467587,-0.357775,0.218449,2.121934
1785680924,926542291,-0.378337,0.197467,2.155109
1785680925,24619735,-0.398892,0.197353,2.194102
1785680925,323636809,-0.420666,0.195757,2.163079
1785680925,725741476,-0.426468,0.191125,2.117787
1785680925,826520216,-0.424325,0.188595,2.082151
1785680926,21687290,-0.414402,0.185813,2.045620
1785680926,524156420,-0.426964,0.204879,2.080698
1785680927,127877679,-0.428050,0.195830,2.038973
1785680927,228643864,-0.419138,0.191865,2.010527
1785680927,328838030,-0.410209,0.184439,1.959740
1785680927,728732697,-0.390788,0.166492,1.974169
1785680928,225664400,-0.410716,0.131121,1.998522
1785680928,424651122,-0.417094,0.118651,2.025134
1785680929,220895770,-0.415510,0.117803,1.992070
1785680929,722484751,-0.397740,0.150738,1.977901
1785680930,22871158,-0.385937,0.143214,1.936931
1785680930,920093047,-0.360717,0.150970,1.979414
1785680931,624284694,-0.373602,0.142395,1.949571
1785680931,824945416,-0.371083,0.138451,1.998098
1785680932,23714453,-0.358295,0.135543,2.052308
1785680932,323041138,-0.340055,0.123631,2.080662
1785680932,727015342,-0.351912,0.098554,2.015203
1785680932,827937768,-0.358087,0.093495,1.976005
1785680933,126925156,-0.371009,0.074673,1.941344
1785680933,821079175,-0.347681,0.079632,2.014877
1785680934,419145600,-0.349557,0.099475,1.962464
1785680934,822235507,-0.371927,0.094148,1.942217
1785680936,120078821,-0.396435,0.099246,1.964427
1785680936,418483914,-0.392870,0.091139,2.012686
1785680937,516268191,-0.389252,0.071551,2.044750
1785680937,816003320,-0.380527,0.079851,2.087641
1785680939,314271968,-0.414552,0.077936,2.058202
1785680939,615924745,-0.431684,0.074224,2.009738
1785680939,815615578,-0.441888,0.068764,1.943317
1785680940,220021504,-0.467628,0.046782,1.984922
1785680940,916130800,-0.485787,0.049934,1.945385
1785680941,414785485,-0.503645,0.070667,1.924892
1785680942,14992836,-0.476496,0.079070,1.960050
1785680942,415450299,-0.474631,0.085862,2.008035
1785680942,713925391,-0.458107,0.090362,2.071823
1785680942,913515132,-0.446637,0.093352,2.118723
1785680943,514863891,-0.428678,0.082001,2.091720
1785680943,915026557,-0.440158,0.078176,2.043066
1785680944,410100224,-0.432106,0.087245,2.097477
1785680944,712319483,-0.428380,0.116751,2.125951
1785680944,912376131,-0.434172,0.144330,2.141833
1785680945,211242668,-0.448638,0.157202,2.092728
1785680945,514751056,-0.456620,0.151641,2.029463
1785680945,814118001,-0.453224,0.134853,1.964658
1785680946,305584593,-0.431893,0.111870,1.942670
1785680947,15903537,-0.438091,0.139476,1.956175
1785680947,313308518,-0.469313,0.154147,1.960860
1785680948,102803425,-0.493222,0.170468,1.982700
1785680948,602758629,-0.491041,0.145805,1.956092
1785680948,701091110,-0.480837,0.138161,1.994441
1785680949,401903887,-0.482788,0.109383,2.015351
1785680950,2728832,-0.495412,0.083563,1.966599
1785680950,505909035,-0.512031,0.092134,1.996271
1785680950,806748127,-0.518075,0.105692,2.064252
1785680950,909200072,-0.518793,0.110018,2.096363
1785680951,503265942,-0.515111,0.126554,2.161769
1785680951,900034738,-0.455845,0.118562,1.989337
1785680955,401068643,-0.470494,0.036445,2.049593
1785680955,498982513,-0.485171,0.050326,2.001004
1785680955,697403550,-0.507566,0.028484,2.026908
1785680956,2234476,-0.479270,0.007606,2.021404
1785680956,298041383,-0.482493,-0.012154,2.055055
1785680956,699974087,-0.513493,-0.043891,2.068780
1785680957,198173346,-0.488486,-0.015930,2.042836
1785680958,101033919,-0.512914,-0.002672,2.098687
1785680958,497124345,-0.459702,-0.006234,2.170675
1785680958,796306660,-0.366661,-0.039041,2.347093
1785680962,793574898,-0.119212,-0.000198,2.593829
1785680964,786103601,-0.090245,-0.007957,2.590797
1785680968,185660395,-0.065762,-0.026658,2.588567
1785680970,477828468,-0.050042,0.001609,2.591365
1785680971,482654522,-0.037546,0.027900,2.605680
1785680972,483902466,-0.033573,0.002255,2.589721
